"","L4","Vip","Lamp5","L5 NP","Sst","L5 IT","Oligo","L6 PT","L6 IT","Sncg","Pvalb","L2/3 IT","Astro","L5 PT","L6b","Endo","Peri","Meis2","Macrophage","CR","VLMC","SMC"
"215",0,0,0.15081338062154,0,0,0,0.132270890277926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199037678103153,0.132329555950549
"244",0,0,0.176606761697677,0,0,0,0.143334045730048,0,0,0,0.217599760273684,0,0.126350880548141,0,0,0,0,0,0,0,0,0
"279",0,0.158331508833534,0.433329782153932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147047280777979,0,0
"280",0,0,0,0.163233350461162,0,0,0.126992645305877,0,0.210822666984482,0,0,0,0.125728388141761,0,0,0,0,0,0,0,0,0
"303",0.142966995222108,0,0,0,0,0,0,0.223649701882019,0,0,0,0.363396043410285,0,0,0,0,0,0,0,0,0,0
"304",0,0,0,0,0,0,0,0,0.266424689756536,0,0,0.127136844083572,0,0.219133502860259,0,0,0,0,0,0,0,0
"333",0,0,0,0,0,0,0,0,0,0,0,0.125914628498614,0,0.379563921556491,0.155241545696018,0,0,0,0,0,0,0
"335",0,0,0,0,0,0,0,0,0.150598965832056,0,0,0,0.127386325049284,0,0,0.131602387066375,0,0,0,0,0.209996506843762,0
"393",0,0.165846627759035,0,0,0,0,0,0,0,0,0,0.203610532402261,0,0,0,0,0,0,0,0,0.126851755669136,0.127088308820769
"394",0,0,0,0,0,0,0.248931019138822,0,0,0,0,0,0,0,0,0.175871381939336,0,0,0.131513636824088,0,0,0.126522430770166
"424",0,0,0,0,0,0,0.242533079688088,0.127285194797903,0.12570036642324,0,0,0.216737309778291,0,0,0,0,0,0,0,0,0,0
"452",0,0,0,0,0,0.144241247497375,0,0,0,0,0,0.235199138193359,0,0,0,0,0,0,0.186384241368731,0,0.129770513397326,0
"453",0,0.166889455594208,0,0,0,0.144599890109382,0,0,0,0.127059091882443,0,0.221295635581748,0,0,0,0,0,0,0,0,0,0
"454",0,0,0,0,0,0,0,0.214965659240357,0,0,0,0.258301866070456,0.169131394043388,0,0,0,0,0,0,0,0,0
"480",0,0,0,0,0,0,0.242115601848193,0,0,0,0,0.16773073712268,0,0.231659721430635,0,0,0,0,0,0,0,0.130542016612735
"481",0,0,0,0,0,0.355026771867314,0,0.167305646574526,0,0,0,0,0,0,0,0,0,0,0,0,0.128508213342442,0
"483",0,0,0,0,0.217229753115234,0,0.142966995222108,0,0,0,0,0,0,0,0,0.200592189303592,0,0,0,0,0,0.132136325114334
