"","L4","Vip","Lamp5","L5 NP","Sst","L5 IT","Oligo","L6 PT","L6 IT","Sncg","Pvalb","L2/3 IT","Astro","L5 PT","L6b","Endo","Peri","Meis2","Macrophage","CR","VLMC","SMC"
"215",0,0,0.2201281912875,0,0,0,0.132270890277926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199037678103153,0.132329555950549
"244",0,0,0.390627574797677,0,0,0,0.143334045730048,0,0,0,0,0,0.126350880548141,0,0,0,0,0,0,0,0,0
"279",0,0,0.666191567866432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147047280777979,0,0
"280",0,0,0,0.335511661023662,0,0,0.126992645305877,0,0,0,0,0,0.125728388141761,0,0,0,0,0,0,0,0,0
"303",0.142966995222108,0,0.248595794625,0,0,0,0,0,0,0,0,0.363396043410285,0,0,0,0,0,0,0,0,0,0
"304",0,0,0,0,0,0,0,0,0.125652176246166,0,0,0.326024764108572,0,0.219133502860259,0,0,0,0,0,0,0,0
"333",0,0,0.1519797985625,0,0,0,0,0,0,0,0,0.125914628498614,0,0.379563921556491,0,0,0,0,0,0,0,0
"335",0,0,0,0.1888502460625,0,0,0,0,0,0,0,0,0.127386325049284,0,0,0.131602387066375,0,0,0,0,0.209996506843762,0
"393",0,0,0,0,0,0,0,0.20375123805,0,0,0,0.203610532402261,0,0,0,0,0,0,0,0,0.126851755669136,0.127088308820769
"394",0,0,0.2114153524125,0,0,0,0,0,0,0,0,0,0,0,0,0.175871381939336,0,0,0.131513636824088,0,0,0.126522430770166
"424",0,0,0,0,0,0,0,0.127285194797903,0.302634201235739,0,0,0.216737309778291,0,0,0,0,0,0,0,0,0,0
"452",0,0,0,0,0,0.144241247497375,0,0,0.157380387175,0,0,0.235199138193359,0,0,0,0,0,0,0,0,0.129770513397326,0
"453",0,0,0,0.2371089456125,0,0.144599890109382,0,0,0,0.127059091882443,0,0.221295635581748,0,0,0,0,0,0,0,0,0,0
"454",0,0,0,0,0,0,0,0.402178634940357,0,0,0,0.258301866070456,0,0,0,0,0,0,0,0,0,0
"480",0,0,0,0,0,0,0,0.2026230620625,0,0,0,0.16773073712268,0,0.231659721430635,0,0,0,0,0,0,0,0.130542016612735
"481",0,0,0.2453365960625,0,0,0.196751515178428,0,0.167305646574526,0,0,0,0,0,0,0,0,0,0,0,0,0.128508213342442,0
"483",0,0,0,0,0,0,0.142966995222108,0,0,0,0,0,0,0,0.194660544975,0.200592189303592,0,0,0,0,0,0.132136325114334
"510",0,0,0,0,0,0,0,0,0,0,0,0.677595359363107,0,0,0,0,0,0,0,0,0,0
"511",0,0,0.2499746412125,0,0,0,0.125851056640165,0.125614459046982,0,0,0,0,0,0.200975116702316,0,0,0,0,0,0,0,0
"512",0,0,0.125775917706979,0,0,0.144061012281625,0,0,0,0,0,0.209710057380328,0,0,0,0,0,0,0,0,0,0
"513",0,0,0.443947318463158,0,0,0,0,0,0,0,0,0,0,0.132161954885839,0,0,0.150349799013712,0,0,0,0,0
"514",0.143880171381105,0,0,0,0,0.219717955934949,0,0,0,0,0,0.319083383333214,0,0,0,0,0,0,0,0,0,0
"515",0.200673480945438,0,0,0,0,0,0.131944795864044,0,0,0,0,0.1669616371875,0,0,0,0,0,0,0,0,0.127026975811453,0
"517",0,0,0.2250953179,0,0,0,0.132270890277926,0,0,0,0,0,0,0,0,0,0,0,0,0.130349694178379,0.180247012287753,0
"550",0.142597609876304,0,0.249301256125,0.227124225719961,0,0.125550444999527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"551",0,0,0,0,0,0,0,0,0,0,0,0.574820198437684,0,0,0,0,0,0,0,0,0.134858070582091,0
"552",0,0,0.2480957855125,0,0,0,0,0.214739500946434,0,0,0,0.142782592117151,0,0,0,0,0,0,0,0,0,0.127721944939316
"553",0,0,0.2253170334,0,0,0,0,0.126898896049462,0,0,0,0.210188037585953,0,0,0,0,0,0,0,0,0.126994815449357,0
"582",0,0,0,0,0,0,0.127088308820769,0,0.125797784199936,0,0,0.201752897590498,0,0,0,0,0,0,0,0,0,0
"583",0,0,0.2499882002375,0.126017972049831,0,0.230543741019604,0,0,0,0,0,0.144420874279228,0,0,0,0,0,0,0,0,0,0
"605",0,0,0,0,0,0,0,0,0,0,0,0.216437125822898,0,0,0,0.16531228033477,0,0,0,0,0.128484626470361,0
"606",0,0.125590921865843,0.249713589525,0,0,0.185079563261492,0,0,0,0,0,0,0.132053253128148,0,0,0,0,0,0,0,0,0
"607",0,0,0.2394597756375,0,0,0,0,0,0,0,0,0.50708743150232,0,0,0,0,0,0,0,0,0,0
"608",0.127088308820769,0,0.2499573902875,0,0,0,0,0,0,0,0,0.334883001012406,0,0,0,0,0,0,0,0,0,0
"609",0,0,0.125540475167005,0,0,0.16773073712268,0,0,0,0,0,0.1379544806375,0,0.228630774891929,0,0,0,0,0,0,0,0
"610",0,0,0,0,0,0,0,0,0,0,0,0.702588896101453,0,0,0,0,0,0,0,0,0,0
"611",0,0,0,0.205874923626413,0,0,0,0,0,0.12535537456708,0,0.1514677405,0,0,0,0,0,0,0.127285194797903,0,0,0
"612",0,0,0.2309918398875,0,0,0,0,0,0,0.12554857032223,0,0,0.127136844083572,0,0,0,0.173959295818623,0,0,0,0,0
"637",0,0,0.18657111636981,0,0,0.144061012281625,0,0,0,0.126399029186725,0,0.18928272005,0,0,0,0,0,0,0,0,0,0
"638",0,0,0,0,0,0,0,0.166436333609588,0,0,0,0.34741263898398,0,0,0,0,0,0,0,0,0,0
"639",0,0,0,0,0.125018311369089,0,0,0,0.127285194797903,0,0,0.399811062626886,0,0,0,0,0,0,0,0,0,0
"640",0,0,0,0,0,0,0,0,0.258150638946401,0,0,0.218487359789897,0,0,0,0,0,0,0,0,0,0
"641",0,0,0.2498174448625,0,0,0,0,0.20972899908955,0,0,0,0,0,0,0,0.125596334194244,0,0.127452562615178,0,0,0,0
"642",0,0,0.2499958002625,0,0,0.203874337686283,0,0,0,0,0,0.359363520534084,0,0,0,0,0,0,0,0,0,0
"643",0,0,0,0,0,0,0,0.143880171381105,0.354002142355093,0,0,0.2091829299125,0,0,0,0,0,0,0,0,0,0
"644",0,0,0.2499559096,0,0,0.226702067961977,0,0,0,0,0,0.294135689774453,0,0,0,0,0,0,0,0,0,0
"645",0,0,0,0,0,0,0,0,0,0,0,0.499954095472477,0,0,0,0,0,0,0,0,0,0
"679",0,0,0.249399606075,0,0,0,0,0,0,0.127368488961548,0,0.359271499151641,0,0,0,0,0,0,0,0,0,0
"680",0,0,0,0,0,0,0,0.281873841343605,0,0,0,0,0,0.212220809770196,0,0.126266976847355,0,0,0,0,0,0
"681",0,0,0,0,0,0,0,0.283267431309875,0.35345017837096,0,0,0,0,0,0,0,0,0,0,0,0,0
"682",0,0,0.1624846913625,0,0,0.144241247497375,0,0,0,0,0,0.228823683101714,0,0,0,0,0,0,0,0,0.125812129162001,0
"683",0,0,0,0,0,0,0.27106211522961,0.200552391771221,0,0,0,0.2224949687,0,0,0,0,0,0,0,0,0,0
"684",0,0,0.2398789297625,0.217188330868185,0,0,0,0.126852753546009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126177267942049
"685",0,0,0,0,0,0,0,0.170574074475,0,0,0,0.475249216359519,0,0,0,0,0,0,0,0,0,0
"686",0,0.125914191432832,0.362658551930937,0,0,0,0,0.127185840677105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"687",0,0,0.2499646951,0,0,0,0,0,0,0,0,0.525412898518855,0,0,0,0,0,0,0,0,0,0
"688",0,0,0,0,0,0.213879351776349,0,0,0,0,0,0.459217085053557,0,0,0,0,0,0,0,0,0,0
"689",0,0,0.249414951475,0.207104044646148,0,0,0.131836594176414,0,0,0,0,0,0.126068624499844,0,0,0,0,0,0,0,0,0
