"sample_name","subclass","rmax","x","y"
1,"L6 PT",0.412039951271935,712.40142,204.8191896
12,"L2/3 IT",0.683291012937186,1217.39318,883.516611
18,"L2/3 IT",0.699121719723575,891.96394,1036.2727079
20,"L2/3 IT",0.306408603023859,654.74648,973.4351562
22,"L2/3 IT",0.809943465744122,645.90474,923.8821621
25,"Pvalb",0.583128451554112,826.40273,582.2065377
27,"L2/3 IT",0.475443032225744,998.92527,707.2615568
28,"L2/3 IT",0.740092765803806,693.43943,882.8577946
30,"L6b",0.722338910793957,1223.05004,55.0715925
35,"L2/3 IT",0.275888420188262,550.73555,995.2338002
37,"L6 PT",0.669331822775235,803.57956,285.9892198
40,"L2/3 IT",0.53414753538575,923.48179,829.1017722
45,"L5 PT",0.571308660334194,829.91078,431.1958987
47,"L2/3 IT",0.688861350162372,1100.36398,917.4768402
51,"L5 PT",0.808176826257136,1046.56483,418.9559926
52,"L5 IT",0.682035378718799,1161.52615,501.9140663
53,"Sst",0.7550873622939,662.02757,417.0369368
59,"L6 IT",0.361823192123783,668.25106,325.8637704
61,"L2/3 IT",0.549794611757406,491.37814,999.3995065
62,"Vip",0.71997619060056,479.65674,107.2724503
69,"Lamp5",0.499535615713282,739.38261,261.2808157
70,"L6 IT",0.551822006647186,492.29501,335.3418832
71,"L5 IT",0.560963533246361,516.8901,317.1535543
73,"L2/3 IT",0.864750047541342,32.21997,664.9973416
81,"Pvalb",0.67145177664805,365.47694,0
82,"L4",0.584700963708414,724.37503,678.1572347
83,"L4",0.822954021664894,479.86916,732.5022432
96,"L2/3 IT",0.645144534886799,880.33162,243.8428857
108,"L2/3 IT",0.592581588487932,1034.38359,809.638191
111,"L6 IT",0.648129010350015,689.27846,258.295334
114,"L4",0.560902875272332,428.16122,714.6322887
117,"L6b",0.578201819565059,691.21444,57.7453933
124,"L2/3 IT",0.480671020849553,1207.62665,809.8870528
129,"L4",0.807052630258597,746.18594,677.5662602
131,"L4",0.435522063482852,1139.24033,693.2277051
134,"Pvalb",0.399155126601078,582.32991,298.8044834
139,"L6 PT",0.30532135963085,209.1596,476.7917835
140,"L6 IT",0.641968686901331,514.17514,299.8667239
142,"L6 IT",0.838562311898089,949.16142,204.8684937
143,"L2/3 IT",0.650287766174619,385.69128,743.9742943
147,"L4",0.290494898386172,687.94542,597.7797324
150,"L4",0.452563704870522,416.39269,598.6235964
155,"L2/3 IT",0.434000726006759,1082.22357,578.2727968
156,"L6 IT",0.438454560121043,667.66119,103.3427197
158,"L6 IT",0.896556236760725,1133.68853,347.2667037
159,"L5 IT",0.642188025213605,1014.8535,379.7823031
163,"L2/3 IT",0.598804904857356,494.90003,679.3638153
165,"L6 PT",0.826793567247047,936.70077,75.8132989
170,"L4",0.357753593972498,684.89478,605.9237295
174,"L5 PT",0.635561641381155,542.17649,482.2718881
176,"Pvalb",0.69114059952564,1261.56146,299.8282713
181,"L6 PT",0.727017493981369,1199.59526,206.1126041
182,"Sst",0.302469918329972,676.0732,141.4998809
185,"L4",0.620688771205172,1232.24493,703.6320789
189,"L2/3 IT",0.763094565412764,1104.87072,795.351984
191,"Vip",0.266696090779283,1066.04575,402.0773308
192,"Pvalb",0.6695108731344,103.0696,830.5378743
199,"L6 IT",0.801689031382646,1196.70662,287.1477332
201,"L2/3 IT",0.461645402927726,139.34602,863.4470504
204,"L6 PT",0.703577431176544,295.58878,110.0595052
207,"L6 PT",0.471969368467135,1075.90212,174.5309458
208,"L6 PT",0.300252646204412,430.38774,517.3819404
210,"L2/3 IT",0.687761403194634,409.0194,1008.1858283
211,"L2/3 IT",0.462967136034253,518.59306,746.2944824
212,"L5 PT",0.777473398485667,902.32379,456.3541938
218,"L2/3 IT",0.148108097106582,379.51739,640.6127865
222,"Pvalb",0.545408933392783,651.41662,560.7627283
223,"L5 IT",0.552866806309545,169.08014,495.8112251
225,"Pvalb",0.806924350729662,453.16903,200.8352629
227,"L2/3 IT",0.574177281977512,1179.84054,879.4444488
230,"L2/3 IT",0.771690913782869,435.07483,1016.0234189
232,"L2/3 IT",0.585393505605656,567.04704,801.4207939
234,"L6 PT",0.85687848488321,208.20715,78.5967326
242,"L2/3 IT",0.424061080074417,29.47177,651.2488208
243,"L2/3 IT",0.840378956485494,945.63734,1010.1399926
246,"L5 PT",0.780304252528301,636.56387,541.8513486
247,"L6 PT",0.840300449439013,285.93419,196.395599
248,"Vip",0.710396902380263,506.25864,983.3801823
249,"L6 PT",0.542243142246811,766.56046,120.5428366
251,"Sst",0.610900646568363,583.04636,399.6105826
252,"L2/3 IT",0.694084437700006,634.11065,854.2499828
253,"L6 PT",0.282666699497717,364.16047,697.286607
254,"L5 PT",0.644623104250159,941.99812,502.0304012
260,"L2/3 IT",0.647150978738783,295.22532,818.923737
262,"L2/3 IT",0.709608171322453,405.21001,896.4467794
264,"L4",0.856674494393814,844.06262,752.2448423
267,"Sst",0.60340858331685,556.95197,950.296589
270,"L5 IT",0.546703614341659,1252.32694,396.9452
273,"L6 IT",0.735642378094307,895.58217,242.6428218
280,"L2/3 IT",0.275678895056925,1065.15714,771.889613
281,"L2/3 IT",0.453160484702215,557.59419,969.7334163
284,"L2/3 IT",0.785060522889894,265.20371,833.6198814
290,"L5 PT",0.831043512857311,403.51174,463.494194
292,"L6 PT",0.665667992525742,329.07259,267.4517645
294,"L2/3 IT",0.772830552427328,209.2607,957.8572419
295,"L4",0.640472624555121,550.91625,661.828555
296,"L5 IT",0.580973114970213,364.83615,349.3370186
298,"L2/3 IT",0.845170629574419,145.75693,911.5484142
301,"L6 IT",0.787553367971524,512.00072,276.8386785
304,"Lamp5",0.535518470189662,614.69114,808.3667602
306,"L2/3 IT",0.803491073662376,1124.1159,962.471867
309,"Oligo",0.382649852915605,306.46076,261.0179701
310,"L2/3 IT",0.305999684776329,454.81042,157.295257
312,"L6 IT",0.166666666666667,694.18468,577.0937405
313,"Sst",0.688481178052908,696.64175,892.6692403
314,"Sst",0.718684584758611,841.53741,286.2147628
315,"L6 PT",0.529500273534947,195.13031,164.7819171
316,"L2/3 IT",0.486183013777246,907.96859,870.4111777
317,"L6 PT",0.397243305182159,343.32515,330.9768442
319,"L2/3 IT",0.58677186669207,1272.72475,783.883083
321,"L4",0.250018662637651,1069.12639,648.5727024
322,"L6 PT",0.827072901404599,942.69152,136.0042493
325,"L6 IT",0.747869570345406,482.79153,139.8910572
326,"L5 PT",0.423900975379351,120.8861,206.4401344
329,"L6 PT",0.858654131667416,491.06328,171.1305144
332,"L6 PT",0.879716688115479,713.73763,177.8110546
334,"L2/3 IT",0.73215854801021,102.04384,852.5413424
337,"L2/3 IT",0.57822291249713,635.6966,905.6786903
340,"L2/3 IT",0.547339534172672,386.41566,961.3489876
347,"L2/3 IT",0.820650721666995,837.91777,776.1656198
348,"Vip",0.328055133109759,1020.88847,914.4790966
350,"L5 PT",0.620660273898826,1187.76203,451.1815072
351,"L4",0.426661399247301,615.05596,628.0373268
356,"L6 IT",0.761158081101016,1129.59742,156.0226788
357,"L6 IT",0.646198365632727,776.32231,197.7221391
362,"L4",0.311408150324342,942.99199,746.7794939
363,"L2/3 IT",0.476216555649275,143.64437,904.8299255
366,"Sst",0.553469635432141,1081.26287,447.9843485
367,"L4",0.672949756256866,279.47857,650.9365097
371,"L6 PT",0.735842932320269,611.7347,144.5776734
373,"L6 PT",0.676140842748112,353.62177,164.2510191
374,"L2/3 IT",0.650260674134056,688.10334,888.9912369
377,"L5 IT",0.260825841035947,850.96316,604.511407
380,"L6 PT",0.630833791106632,200.90346,190.3778675
384,"Pvalb",0.595944679262622,1000.60099,556.637524
386,"L2/3 IT",0.166666666666667,1149.84796,325.8498527
387,"L2/3 IT",0.69248554491046,27.70593,855.7575666
394,"L2/3 IT",0.440973339382657,119.92309,569.9778511
400,"L5 NP",0.521518912363756,216.31873,496.3545923
406,"Sst",0.419907923430337,59.60808,785.6991396
412,"L6 IT",0.864598080871278,1186.51711,139.8871125
413,"Pvalb",0.805703634514309,131.03916,171.8468485
416,"L4",0.753007532393718,260.87259,602.3834019
417,"L2/3 IT",0.568675893568775,1292.33827,883.4541695
419,"Pvalb",0.795208099220233,183.02319,504.2980581
421,"L2/3 IT",0.596674672920344,101.04081,718.5384497
422,"L4",0.778406672990965,237.43789,562.2865079
423,"L2/3 IT",0.68341148122302,435.00465,789.1996929
425,"L6 PT",0.35684918634585,489.63512,439.4352935
428,"L6 IT",0.408162178179343,402.66272,213.502306
429,"L4",0.249785253785285,528.37181,656.2835234
430,"L4",0.386292832310248,228.82832,611.2631776
431,"L6 PT",0.657719482971339,544.65175,231.0032752
432,"L2/3 IT",0.463389859331006,307.33097,733.9850877
433,"Pvalb",0.663737672342884,271.45652,580.6040291
437,"L4",0.64296933358109,451.79688,725.6761422
441,"L2/3 IT",0.461514864773071,475.17398,881.1269602
442,"L5 PT",0.685806943466822,227.65984,455.9729664
445,"L6 IT",0.445076531325013,867.90743,310.3588648
446,"L2/3 IT",0.297340189728161,429.83509,1033.5551324
451,"L5 PT",0.295,1031.8473,253.4988051
452,"L2/3 IT",0.82369808729264,1172.11161,920.2711081
454,"Pvalb",0.340011870668958,854.18252,545.8191231
456,"L4",0.467464058989113,121.22573,557.6163844
457,"L5 IT",0.653237960230119,835.43153,561.3343721
459,"L2/3 IT",0.425939498555213,1063.14797,993.4344189
460,"L5 PT",0.487402228627968,1108.17682,464.2508059
461,"L2/3 IT",0.823419809130862,186.76403,905.1994967
463,"L6 PT",0.799106402686871,740.97999,224.7540696
464,"Sst",0.810887674070014,1131.13612,460.4263392
470,"L2/3 IT",0.392926796583326,767.42194,839.3658716
471,"L6 IT",0.440862022855857,478.13446,95.564193
475,"Pvalb",0.75461219738063,814.78108,199.4566077
482,"L4",0.828995480100858,1011.63432,621.0895302
485,"L6 PT",0.72309268840822,691.20289,165.380329
486,"L6b",0.632538668506581,756.1753,51.0335528
487,"L2/3 IT",0.404738216108907,1006.69855,951.5624365
488,"L2/3 IT",0.756131179773884,860.0859,807.6218423
495,"Sst",0.460278617665161,663.48973,496.2324283
496,"L2/3 IT",0.301065181666681,439.86757,1005.7713063
499,"L4",0.331423323638796,230.16905,582.8643131
500,"L2/3 IT",0.874322602374935,1184.69185,949.9716064
502,"Pvalb",0.821496031499279,196.39781,265.61811
503,"L6 PT",0.668659291952347,983.49982,170.804774
505,"L2/3 IT",0.459477509385861,913.11427,928.6691687
507,"L2/3 IT",0.532156632965802,1175.30662,768.9217646
510,"L5 PT",0.862892879536196,588.74324,484.4980029
512,"Pvalb",0.874011148226252,669.2689,544.983014
513,"L2/3 IT",0.751182042397446,1176.16489,901.2127145
515,"L4",0.627526730134679,68.56973,659.013867
521,"L5 IT",0.715485462731873,332.35519,446.8041338
522,"Oligo",0.548623970853805,51.5896,787.6915985
523,"L5 IT",0.737658049825803,451.94825,468.9485528
527,"L2/3 IT",0.604216506946133,767.35699,872.487289
528,"L6 PT",0.408893604948865,835.56866,186.2673176
532,"Pvalb",0.608186552197011,315.28433,385.4177478
533,"L2/3 IT",0.764077597505628,437.17697,949.3621435
534,"L4",0.278292443140755,470.59601,359.9235895
537,"L6 PT",0.546596483074674,1137.66921,223.452563
539,"L5 NP",0.626859648710786,260.42558,422.7038538
540,"L6 PT",0.578082401527186,567.33081,170.9801978
542,"L6 PT",0.366302910296119,597.05756,146.9279059
546,"L6 PT",0.820681894072743,286.56693,178.0747058
549,"L2/3 IT",0.591658595233592,230.20467,731.4565293
550,"L2/3 IT",0.795486443968734,1040.23723,855.5442341
552,"L2/3 IT",0.575358412604726,291.37949,325.2460121
553,"L2/3 IT",0.699830827134896,1064.4962,951.6674305
554,"L6 PT",0.673033435263341,855.2621,155.5796269
556,"L2/3 IT",0.57727243360648,756.81038,868.7833499
557,"L6 IT",0.575748349442988,1115.48517,330.0562405
560,"L2/3 IT",0.691176595942378,1129.43886,893.2074894
564,"L5 PT",0.446009816694806,680.46795,543.6517717
566,"L6 IT",0.822304541661028,650.0464,187.0461826
567,"L6 PT",0.317164995600321,469.33507,150.0843073
568,"L6 IT",0.641984148758741,584.76276,256.751749
573,"L2/3 IT",0.705180652453062,145.63323,953.4081402
580,"L6 PT",0.631567076230112,215.81204,149.9947899
582,"Pvalb",0.736004540258557,3.0964,862.9919118
586,"L2/3 IT",0.66695299845733,762.06941,836.206696
588,"L2/3 IT",0.558838208197477,58.32414,894.1836596
591,"L5 PT",0.545015933299969,134.28095,412.3192366
593,"L6 PT",0.786774104201548,292.83102,146.1371531
595,"L2/3 IT",0.451337858127069,149.44043,646.8808978
601,"L5 PT",0.741857270042755,267.88359,453.9255416
606,"Lamp5",0.296439242270734,933.92991,1043.972973
609,"L6 PT",0.490500402267954,179.20638,134.8950795
612,"L6 IT",0.864205920664444,854.55392,359.2089295
613,"L2/3 IT",0.807834710018265,125.14079,870.2949197
616,"Oligo",0.382061677542798,840.06294,69.5838294
619,"L5 IT",0.478902122315362,413.43253,560.7180796
622,"L2/3 IT",0.621716916424688,828.71796,936.2039577
623,"L2/3 IT",0.68749599154436,785.08976,810.6205897
624,"L6 PT",0.822247649493318,980.22936,179.4481631
626,"L6 IT",0.257964996100056,145.84686,325.9129358
627,"L6 PT",0.731104894839641,1106.34481,307.2632552
633,"L5 PT",0.259492509042696,349.7851,443.8364427
641,"L5 PT",0.546802581703603,958.19978,441.9082333
643,"L4",0.696985159403378,1098.87989,748.7519712
644,"Pvalb",0.742638587798812,1155.77865,476.7529426
647,"L6 PT",0.601019593186228,992.10055,121.4384337
652,"L6 IT",0.645935982515065,1279.39693,285.0527061
655,"L2/3 IT",0.72603406706998,256.99444,721.2895658
656,"L2/3 IT",0.705162117575595,571.917,966.849438
664,"L4",0.71748040662181,385.2887,592.6774053
667,"L2/3 IT",0.437809928667731,814.15319,816.1932388
668,"Macrophage",0.178698740569438,596.62318,612.8596693
675,"L5 PT",0.761143747672145,1095.04271,440.725908
680,"L6 IT",0.349190945007096,839.3003,211.0109943
682,"L2/3 IT",0.552182434678262,209.38859,726.4312915
691,"Sst",0.825754594381788,1094.23432,361.702978
698,"L6 IT",0.837732988914284,1217.76885,150.9025275
702,"Sncg",0.76451563950855,802.36381,395.3773884
705,"L2/3 IT",0.641479567440019,1232.85188,950.5101371
707,"L2/3 IT",0.594502261165119,54.50847,651.7064835
708,"L2/3 IT",0.702599537010321,676.78563,932.9754231
713,"L2/3 IT",0.584728448224642,1036.12813,798.2551429
716,"L2/3 IT",0.474243103694383,312.14062,761.8303139
717,"L4",0.593287971466254,171.03905,605.780209
724,"L2/3 IT",0.288348771907915,1070.49173,603.6623581
726,"L4",0.36055419010085,553.96909,747.7413059
728,"L6 IT",0.828769781960063,794.71252,287.9430424
729,"L5 PT",0.29408599043166,348.81408,452.5662469
730,"L6 PT",0.850168677864923,1008.80177,200.7997717
735,"L4",0.392821738700106,648.21938,683.2004781
737,"L4",0.639036702885932,485.2656,763.0502371
738,"Sst",0.811221646927884,303.31595,359.8609089
740,"Endo",0.284696603164026,609.42468,613.5104459
751,"L2/3 IT",0.805592056392606,249.77751,936.1291239
755,"L2/3 IT",0.64486700432623,1220.80327,763.2432065
758,"L2/3 IT",0.473753540430588,289.51321,766.3596239
759,"L6 IT",0.713687111062506,153.60476,201.9303345
761,"Sst",0.844101633107433,1252.48458,409.6243256
