"","L4","Vip","Lamp5","L5 NP","Sst","L5 IT","Oligo","L6 PT","L6 IT","Sncg","Pvalb","L2/3 IT","Astro","L5 PT","L6b","Endo","Peri","Meis2","Macrophage","CR","VLMC","SMC"
"1",0,0,0,0,0,0,0,0.494447941526322,0,0,0,0,0,0,0,0,0,0.222322942908118,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0.682337740934623,0,0,0,0,0,0,0,0,0,0.101472761902796
"18",0,0,0,0,0,0,0,0,0,0,0,0.63894606383829,0,0,0.106477846425557,0,0,0,0,0,0,0
"20",0.131755444617423,0,0,0,0,0,0,0.161816044471974,0,0,0,0.36769032362863,0,0,0,0,0,0.100850614044978,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0.771932158892946,0,0,0,0,0,0,0,0,0,0
"25",0,0,0.280934315555987,0,0,0,0,0,0,0,0.510373211604934,0,0,0,0,0,0,0,0,0,0,0
"27",0.406263279994138,0,0,0,0,0,0,0,0,0,0,0.370531638670893,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0.696141275054567,0,0,0,0.100985805455758,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0.132971929731268,0,0,0,0,0,0,0.666806692952749,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,0.113941094611503,0,0,0.331066104225914,0.100705320329484,0,0,0,0,0,0.160978792373985,0,0,0
"37",0,0,0,0,0,0,0,0.803198187330282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0,0.6409770424629,0,0,0,0,0,0,0.102112907742385,0,0,0
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0.685570392401032,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0.104349210817993,0,0,0,0,0.626633620314846,0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0.773793207578563,0,0,0,0,0,0,0,0
"52",0,0,0,0,0,0.619555775092558,0,0,0,0,0,0,0,0.163099470149027,0,0,0,0,0,0,0,0
"53",0,0,0,0,0.70610571485268,0,0,0,0,0,0,0,0,0,0,0,0.112628768426895,0,0,0,0,0
"59",0.119343655899699,0,0,0,0,0,0,0,0.43418783054854,0,0,0,0,0,0,0,0,0,0.1049547206306,0,0,0
"61",0,0,0.209196890164336,0,0,0,0,0,0,0,0,0.459753534898887,0,0,0,0,0,0,0,0,0,0
"62",0,0.673417948120672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13131548830583,0,0,0
"69",0.11680404677295,0,0.399444356615938,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",0,0,0,0,0,0.108840962291079,0,0.2,0.462186409026623,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0.673156239895633,0,0,0.163460012265236,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0,0,0.837700057049611,0,0,0,0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0,0,0,0,0.805742131977661,0,0,0,0,0,0,0,0,0,0,0
"82",0.511811027420097,0,0,0,0,0,0,0,0,0.10214158615936,0,0.2,0,0,0,0,0,0,0,0,0,0
"83",0.801756979177873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",0,0,0,0,0,0,0,0.151852085926675,0,0,0,0.577500035634159,0,0,0,0.101482981596528,0,0,0,0,0,0
"108",0.21731186789654,0,0,0,0,0,0,0,0,0,0,0.511097906185518,0,0,0,0,0,0,0,0,0,0
"111",0,0,0,0,0,0,0.102889304293146,0,0.579162589810018,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",0.497451490346798,0,0,0.100907257253757,0,0,0,0,0,0,0,0.161950430117186,0,0,0,0,0,0,0,0,0,0
"117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693842183478071,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0.101491315799886,0,0,0,0,0.576805225019464,0,0,0,0,0,0,0,0,0,0
