"sample_name","subclass","rmax","x","y"
1,"Pvalb",0.2383426252375,1230.34806066844,8321.38614631524
2,"L6 PT",0.750726031515994,13107.0389729132,7263.14650852598
3,"L2/3 IT",0.544853921980104,17216.6669095409,17410.2057445308
4,"L6 PT",0.791977793604758,12890.3446636428,7560.74293949012
5,"L2/3 IT",0.772247794484868,10870.6928927833,15522.1084105173
6,"L4",0.838010827660565,11459.7926671793,13984.5495243852
7,"Pvalb",0.726917223813017,1509.59336619264,13619.1382826171
8,"L4",0.659260274036117,790.713332831734,11995.3023721535
9,"L6 IT",0.723576614360302,1981.07094252347,5427.00533241927
10,"L6 PT",0.780563570345534,2497.62320744532,4560.4612368366
12,"L2/3 IT",0.794229649844145,13418.676828425,17893.9610847555
13,"L6 IT",0.851928555313419,1612.73601914613,5646.82598474896
14,"L5 IT",0.424019834468944,543.487629583043,10656.2593234866
16,"L2/3 IT",0.804215171935192,3963.43292680452,16931.3864649567
17,"L5 IT",0.748285384690126,7253.63241196697,11112.4963690428
18,"L2/3 IT",0.54619704695517,6426.05583969009,16626.0166535749
19,"L5 PT",0.465216664379313,2155.56206119955,8698.54245263948
20,"L5 PT",0.662154823569202,14344.7932195939,9494.04509876828
21,"L6 IT",0.597630878173989,12633.2071190213,5620.62921362129
22,"L5 IT",0.373914206511326,13412.0043717768,8555.1989818611
24,"L5 IT",0.651357552070514,2305.22889227069,10531.862829292
25,"L5 IT",0.471364270283535,10299.2220354986,8972.42366747023
26,"Sst",0.821546918528717,7272.50304978406,10286.4817196287
27,"L5 PT",0.223222354815332,11699.8547032068,10657.2044295865
28,"L5 PT",0.533539505861724,5004.90096863505,9425.41865108454
29,"L4",0.380038941006654,14092.9277796538,14618.2589093867
30,"L4",0.687098906127472,181.683992450456,11471.1636045213
31,"L2/3 IT",0.824646417822554,9392.66080741509,17541.2696549207
32,"L6 PT",0.777212731178204,7358.41797127677,5417.71218041791
33,"L2/3 IT",0.581079078888377,9235.08393759635,15107.969690166
35,"L5 IT",0.801812904855207,13457.1232556498,12275.2861724612
36,"L6b",0.612265890095295,12145.1820563995,3921.82827407552
37,"L6b",0.402397148825982,11117.329129677,6979.83864188672
38,"L5 IT",0.790466319112672,16678.8909440758,10722.9169634425
39,"L4",0.792602328083344,12492.5541386437,13810.7916118949
40,"L6 PT",0.381153769332941,6752.86906311137,3881.75366994794
41,"L2/3 IT",0.569640956692839,10422.4905314633,16484.424604207
42,"L2/3 IT",0.778295612799067,15273.2431568446,17104.4490935782
43,"L5 PT",0.61240226322059,5997.55161966099,9225.96156594413
44,"Pvalb",0.564249136202833,15415.3537380314,10405.791457976
45,"L5 PT",0.638632506208948,6244.04635950058,9575.29139181813
46,"Pvalb",0.737794241932288,9995.40480748026,4846.04542859158
47,"L4",0.595887553614708,9509.18493859874,14749.9301137548
48,"L4",0.359378435633263,11761.8249604597,12628.9846555224
49,"L6 IT",0.552063763169965,320.986456951281,5450.22935328769
50,"L6 PT",0.793941107586843,8217.03813902593,7184.42193776065
51,"L2/3 IT",0.421013442741094,16394.3530660038,13534.6345756691
52,"Sst",0.813605785165277,5209.12932806374,15212.7173985016
53,"L5 IT",0.600244097255199,455.466315615208,9902.77559974296
54,"L4",0.616097613078794,465.92387206624,13752.8406819897
55,"L2/3 IT",0.732453207762868,8917.14488105865,17988.2187323802
