"","L4","Vip","Lamp5","L5 NP","Sst","L5 IT","Oligo","L6 PT","L6 IT","Sncg","Pvalb","L2/3 IT","Astro","L5 PT","L6b","Endo","Peri","Meis2","Macrophage","CR","VLMC","SMC"
"1",0,0,0,0,0.168873161599578,0,0,0.223222354815332,0,0,0.2383426252375,0,0,0,0,0.157790277094468,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0.750726031515994,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0.544853921980104,0,0,0,0.161943138646552,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0.791977793604758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0.772247794484868,0,0,0,0,0,0,0,0,0,0
"6",0.838010827660565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0.726917223813017,0,0,0,0,0,0,0,0,0,0,0
"8",0.659260274036117,0.158507489778383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0.723576614360302,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0.780563570345534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0.794229649844145,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0.851928555313419,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0.188335640227446,0,0,0,0,0.424019834468944,0,0,0,0,0,0,0.169664683015246,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0.804215171935192,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0.748285384690126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0.54619704695517,0,0,0,0,0,0,0.161186201373108,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0.465216664379313,0.188335640227446,0,0,0,0,0,0,0.181791589500194
"20",0,0,0.24989540976874,0,0,0,0,0,0,0,0,0,0,0.662154823569202,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0.597630878173989,0,0,0.24398643469128,0,0,0,0,0,0,0,0,0,0
