"","L4","Vip","Lamp5","L5 NP","Sst","L5 IT","Oligo","L6 PT","L6 IT","Sncg","Pvalb","L2/3 IT","Astro","L5 PT","L6b","Endo","Peri","Meis2","Macrophage","CR","VLMC","SMC"
"1",0,0,0,0,0,0,0,0.396817717446251,0,0,0,0,0,0,0,0,0,0,0,0,0.23357779120712,0
"5",0.604121944478903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0.650111179773114,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0.625619403846183,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0.693058025751998,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0.618465592813448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0.432364765919711,0,0,0,0,0.182602100837326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0.678971785000815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0.723921698339516,0,0,0,0,0,0,0,0,0,0,0
"19",0.617194391078204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0.363541559495181,0.1980276369804,0.113720101410406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0.645084085684633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0.618439300028842,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0.69829883980586,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,0.108056827773443,0,0,0,0,0,0,0,0,0,0,0.199958911053071,0.175461253620234,0.142303741517617,0,0,0,0,0,0
"30",0,0,0,0,0.174123727862407,0,0,0.499048458313519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0.499943779122441,0,0,0,0,0,0,0,0,0,0.121738531356493,0,0,0,0
"34",0,0.140869703267956,0,0,0.504188040659671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0.198896322145369,0,0,0,0.181054350048657,0.190406170950561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117270551193435,0
"36",0,0.106025128319926,0,0,0,0.378372764829358,0,0,0,0,0,0,0.143555308375146,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0.378999488169817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253482254747856,0
"43",0,0,0,0,0,0,0,0,0,0,0.716280089788453,0,0,0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0.618428833084361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0.179904435418542,0.184682035058422,0,0,0,0,0,0,0,0,0,0.311597975439053,0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0,0,0,0,0.622221442593412,0,0,0,0,0,0,0,0,0,0,0
"52",0.494211958156825,0,0,0,0,0,0,0,0,0,0.173415812211215,0,0,0,0,0,0,0,0,0,0,0
"57",0.198033918485438,0,0.116993285434593,0,0,0,0,0,0,0,0,0.28722418672909,0,0,0,0,0,0,0,0,0,0
"58",0.498109832428,0.153601735085903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",0.637641381984888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",0.528685803230955,0,0,0,0.102925009388431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",0,0.38059483912681,0,0,0,0,0,0,0,0.284532996037297,0,0,0,0,0,0,0,0,0,0,0,0
"65",0,0,0,0,0,0.687370591244176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",0.2,0.150319485703979,0,0,0,0.17922464341938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124747197419116,0,0
"68",0,0,0,0,0.664068988992901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0.639845662837738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0,0.390469736322349,0,0,0,0,0,0.131324242922074,0,0,0.117214329381121,0,0,0,0,0
"72",0,0,0,0,0,0,0,0.631299084479304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,0.654452785667532,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",0.184910118236068,0,0.27066978336308,0,0,0,0,0,0,0,0,0.199048850498359,0,0,0,0,0,0,0,0,0,0
"79",0.547809334604978,0,0,0,0,0,0,0,0,0,0,0,0.10529032217886,0,0,0,0,0,0,0,0,0
"80",0,0,0,0,0,0,0,0,0,0,0,0.650075516476766,0,0,0,0,0,0,0,0,0,0
"82",0,0,0.127679731558055,0,0,0,0,0.496554140127681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",0,0,0,0,0,0,0,0,0.654203742330722,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",0,0,0,0,0,0.387608655394616,0,0,0.110084213070367,0,0,0,0,0,0.135127471238901,0,0,0,0,0,0,0
"87",0,0,0.709920970305754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",0.621417652429464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",0.48325203112893,0.180579366765991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",0.561479840910748,0,0,0,0,0,0,0,0,0,0,0.113881678390332,0,0,0,0,0,0,0,0,0,0
"93",0,0.194432563435459,0.486330760508215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",0.490325299701963,0,0,0,0,0,0,0,0,0,0.145183499803311,0,0,0,0,0,0,0,0,0,0,0
"97",0,0,0,0,0,0,0,0,0,0,0.666717358548458,0,0,0,0,0,0,0,0,0,0,0
"99",0.46678519725562,0,0,0,0,0,0,0,0,0,0.141755209000582,0,0,0,0,0,0,0,0,0,0,0
"100",0,0,0,0,0.105081273267397,0,0,0,0,0,0,0.527475966898724,0,0,0,0,0,0,0,0,0,0
"104",0,0,0.120962261278737,0.103564187774071,0,0,0,0.392371753955276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",0.353445048894151,0.109244666851051,0,0,0,0,0,0,0,0,0.122720526876097,0,0,0,0,0,0,0,0,0,0,0
"107",0,0,0,0,0,0,0,0,0,0,0,0.640647900065915,0,0,0,0,0,0,0,0,0,0
"111",0,0,0,0,0.464962578732376,0,0,0,0,0,0.199452225002319,0,0,0,0,0,0,0,0,0,0,0
"113",0,0.501337661081482,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130846123663555,0,0,0,0,0,0
"115",0,0,0,0.103564537974048,0,0,0,0.501189236977151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",0,0,0,0,0,0,0,0.62842419830588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",0,0,0,0,0,0,0,0,0,0,0,0,0,0.670606251992133,0,0,0,0,0,0,0,0
"120",0,0,0,0,0,0,0,0.50339903058245,0,0,0,0,0,0,0,0,0,0.121284136393346,0,0,0,0
"121",0,0,0.120312057229299,0,0,0,0,0.499964522704064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",0.193545910082135,0,0.232135904394386,0,0,0,0,0,0,0,0,0.168157445969832,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0.6564181519004,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",0,0,0,0,0,0,0,0,0.645754639648959,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",0,0,0,0,0.247240342012802,0,0,0,0,0,0,0.372315808995241,0,0,0,0,0,0,0,0,0,0
"135",0.522774469032431,0,0,0,0,0,0,0,0,0,0,0,0.104122217573743,0,0,0,0,0,0,0,0,0
"137",0,0,0,0,0,0,0,0,0,0,0,0.64240639128688,0,0,0,0,0,0,0,0,0,0
"138",0.392819146237026,0.163923004307068,0,0,0,0,0,0,0,0,0.103051980127068,0,0,0,0,0,0,0,0,0,0,0
"139",0,0,0,0,0.103221176281199,0.169563285567476,0,0,0,0,0.319674783560448,0,0,0,0,0,0,0,0,0,0,0
"140",0,0,0.126408562088252,0,0,0,0,0.520677308344222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",0,0,0,0,0,0,0,0,0.649109387226544,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",0,0,0,0,0,0,0,0.631278424334398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",0,0.691603567736227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",0,0,0.106903928074982,0,0,0,0,0,0,0,0,0,0,0.508396521970209,0,0,0,0,0,0,0,0
"153",0,0,0,0,0,0,0.117112061650412,0,0,0,0,0.50020177882661,0,0,0,0,0,0,0,0,0,0
"156",0,0,0,0,0,0,0,0.502520365832881,0,0,0,0,0,0,0.103509526079192,0,0,0,0,0,0,0
"157",0,0,0.102889103013733,0,0,0.194884415178549,0,0,0,0,0,0,0,0,0.360430039689845,0,0,0,0,0,0,0
"158",0.488064217069421,0,0,0,0,0,0,0,0,0,0,0,0.105821854935482,0,0,0,0,0,0,0,0,0
"160",0,0,0,0,0,0,0,0,0,0,0,0.624716841044621,0,0,0,0,0,0,0,0,0,0
"162",0.159460817784381,0.13180367645692,0,0,0,0,0,0,0,0,0,0.306272801324402,0,0,0,0,0,0,0,0,0,0
"163",0,0,0,0,0.105194178422324,0.515963941789417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164",0,0,0,0,0,0,0,0,0.672327613197477,0,0,0,0,0,0,0,0,0,0,0,0,0
"165",0,0,0,0,0,0,0,0.384435576659785,0,0,0,0,0,0,0,0,0,0,0,0,0.276262992314984,0
"166",0.374801713268558,0,0,0,0.153269639161817,0,0,0,0,0,0,0.1049346375844,0,0,0,0,0,0,0,0,0,0
"168",0,0,0.158298333692549,0,0,0,0,0.505549768878164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",0,0,0,0,0,0,0,0.502611583010146,0.133245765151481,0,0,0,0,0,0,0,0,0,0,0,0,0
"172",0.371857390558315,0,0,0,0,0,0,0,0.272929905817797,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",0,0,0,0,0,0,0,0,0,0,0,0.616616877695193,0,0,0,0,0,0,0,0,0,0
"175",0,0,0,0,0,0,0,0,0,0,0,0.638478336224854,0,0,0,0,0,0,0,0,0,0
"177",0,0,0,0.499009574722443,0,0,0,0.172266497716301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180",0,0,0.107579452739383,0,0,0,0,0.194409995720637,0,0,0,0,0,0,0.338879386221706,0,0,0,0,0,0,0
"181",0,0,0,0,0,0,0,0,0,0,0.692338366826747,0,0,0,0,0,0,0,0,0,0,0
"182",0.136158448671631,0,0,0,0,0,0,0,0.10435134774525,0,0,0.384687185250636,0,0,0,0,0,0,0,0,0,0
"184",0.483108045613854,0.13213220735623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",0.527392242383021,0,0,0,0,0,0,0,0,0,0,0.111293731701945,0,0,0,0,0,0,0,0,0,0
"187",0,0,0,0,0,0,0,0,0.104976433375755,0,0,0.534039201805251,0,0,0,0,0,0,0,0,0,0
"188",0.614529510357165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",0,0,0,0,0,0,0,0.620390886518938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191",0,0.122415740368128,0,0,0,0.385490798673287,0,0,0.108194329251449,0,0,0,0,0,0,0,0,0,0,0,0,0
"193",0,0,0,0,0,0,0,0,0,0,0,0,0,0.637342875530633,0,0,0,0,0,0,0,0
"195",0.50053409094551,0,0,0,0,0,0,0,0,0,0,0,0.105122868578864,0,0,0,0,0,0,0,0,0
"199",0,0,0,0,0,0,0,0,0,0,0.656677981927694,0,0,0,0,0,0,0,0,0,0,0
"200",0,0,0,0,0,0,0,0,0,0,0,0.641965267370158,0,0,0,0,0,0,0,0,0,0
"201",0.34727117570466,0.1075808334913,0,0,0,0,0,0,0,0,0.115974704199907,0,0,0,0,0,0,0,0,0,0,0
"202",0,0,0,0.653478029857889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204",0,0,0,0,0,0,0,0,0.669345263450471,0,0,0,0,0,0,0,0,0,0,0,0,0
"206",0,0,0,0.102450847151232,0.118695344618224,0,0,0.39178111433086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207",0,0,0,0,0,0,0,0,0,0,0,0.647922343617946,0,0,0,0,0,0,0,0,0,0
"208",0,0,0,0,0,0,0,0.667528133444242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214",0,0,0,0,0,0,0,0.667325420079339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215",0,0,0,0,0,0.624574144350979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216",0,0,0,0,0,0,0,0,0,0,0.711448313828986,0,0,0,0,0,0,0,0,0,0,0
"217",0,0,0,0,0,0,0,0,0.650484567930405,0,0,0,0,0,0,0,0,0,0,0,0,0
"219",0,0,0,0,0,0,0,0,0,0,0,0.636305124701102,0,0,0,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,0.644475530394742,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",0,0,0,0,0,0,0,0,0.614493863801227,0,0,0,0,0,0,0,0,0,0,0,0,0
"223",0,0,0,0,0,0,0,0.505719461696337,0,0,0,0,0,0,0,0,0,0.145170818242517,0,0,0,0
"225",0,0.198896322145369,0.442674910001069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226",0,0,0,0,0,0,0,0,0.63440691148139,0,0,0,0,0,0,0,0,0,0,0,0,0
"228",0,0,0,0,0,0,0,0,0,0,0,0.668650283161097,0,0,0,0,0,0,0,0,0,0
"230",0.199868538422656,0,0,0,0,0.285066672844028,0,0,0,0.173811034595712,0,0,0,0,0,0,0,0,0,0,0,0
"231",0,0,0,0,0,0,0,0,0,0,0,0,0,0.531198095942112,0.166349948599271,0,0,0,0,0,0,0
"232",0,0,0.106988135173608,0,0,0,0,0,0,0,0,0,0,0.560496738241669,0,0,0,0,0,0,0,0
"240",0,0,0,0,0,0,0,0.387729874247747,0.239356255243612,0,0,0,0,0,0,0,0,0,0,0,0,0
"242",0,0,0,0,0,0,0,0,0.638798192716316,0,0,0,0,0,0,0,0,0,0,0,0,0
"244",0,0,0,0,0,0,0,0,0,0,0,0.628642034087692,0,0,0,0,0,0,0,0,0,0
"246",0,0,0,0,0.103248029154724,0.319773776582734,0,0,0,0,0,0,0,0,0.180901245653205,0,0,0,0,0,0,0
"247",0.331963570503499,0,0,0,0,0.186135368610635,0,0,0,0,0,0,0.104217280871642,0,0,0,0,0,0,0,0,0
"248",0,0,0,0,0.103182570892675,0,0,0,0,0,0,0.529459352595259,0,0,0,0,0,0,0,0,0,0
"249",0,0.193545910082135,0.418900348511306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"251",0,0.12702567012749,0,0,0.518344476264203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"252",0,0.19856905915826,0.420275437428986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"254",0,0.135869697741565,0,0,0,0,0,0.505500447810737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"255",0.631864793207448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"256",0,0,0,0,0,0,0,0,0,0,0.641744011593378,0,0,0,0,0,0,0,0,0,0,0
"258",0,0,0,0,0,0.547330875700654,0,0,0,0,0,0,0.104279042327191,0,0,0,0,0,0,0,0,0
"260",0,0,0,0,0,0.378811539396633,0,0,0,0,0,0,0,0.130810173985869,0,0,0,0,0,0.11863653371466,0,0
"261",0.510412690657115,0,0,0,0,0,0,0,0,0,0,0.111189087171556,0,0,0,0,0,0,0,0,0,0
"262",0,0,0,0,0,0,0,0,0,0,0.672842648296793,0,0,0,0,0,0,0,0,0,0,0
"263",0,0,0,0,0.311822342336095,0,0,0,0,0,0.385745423487282,0,0,0,0,0,0,0,0,0,0,0
"265",0.627300897322855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"266",0,0,0,0.198395867939907,0,0,0,0,0,0,0,0,0,0.472361724170451,0,0,0,0,0,0,0,0
"268",0,0,0,0,0,0,0,0,0.10495265731401,0,0,0.506873725295108,0,0,0,0,0,0,0,0,0,0
"270",0.199048850498359,0,0,0,0,0.482781398044431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"275",0.650728565159376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"278",0,0,0,0,0,0,0,0,0,0,0,0.376211208560223,0,0,0,0,0,0,0,0,0.256506987268649,0
"282",0,0,0,0,0,0,0,0,0.620987571399443,0,0,0,0,0,0,0,0,0,0,0,0,0
"283",0,0,0,0,0,0,0,0,0,0,0,0,0,0.692899557800797,0,0,0,0,0,0,0,0
"284",0.350855334861088,0,0.12004225378294,0,0,0,0,0,0,0,0,0,0.104545985138554,0,0,0,0,0,0,0,0,0
"286",0,0,0,0,0.102555151590949,0,0,0,0,0,0,0.522707699984078,0,0,0,0,0,0,0,0,0,0
"287",0.193112763718175,0,0,0,0,0,0,0,0.169654655808815,0,0,0.28244756986127,0,0,0,0,0,0,0,0,0,0
"291",0,0,0,0,0,0,0,0.628208211604891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"294",0,0,0,0,0,0,0,0,0,0,0,0.621917552469914,0,0,0,0,0,0,0,0,0,0
"296",0,0,0,0,0,0,0,0.394736922912815,0,0,0,0,0,0,0.240803350434415,0,0,0,0,0,0,0
"298",0,0,0.126106946724081,0,0,0,0,0,0,0,0.103586474739449,0.351117180373991,0,0,0,0,0,0,0,0,0,0
"303",0,0,0,0,0,0,0,0,0,0,0,0.624820078003832,0,0,0,0,0,0,0,0,0,0
"305",0.635259379074449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"306",0,0,0,0.198896322145369,0,0,0,0,0,0,0,0,0,0.491481116081669,0,0,0,0,0,0,0,0
"308",0.366242896720707,0.291873282655619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"309",0,0,0,0,0,0.690196346207305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"311",0.628080317760398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"313",0,0,0,0,0,0.386950083922346,0,0,0.113027646432644,0,0,0,0,0,0.112742587225294,0,0,0,0,0,0,0
"314",0,0,0,0,0.102833759772541,0.579262728755644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"315",0,0,0,0,0,0.662508712185497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"316",0.474195611652751,0,0,0,0,0,0,0,0,0,0.163148093721567,0,0,0,0,0,0,0,0,0,0,0
"317",0,0,0,0,0,0,0,0,0.635418030398355,0,0,0,0,0,0,0,0,0,0,0,0,0
"318",0,0,0,0,0,0,0,0.640977436314943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"322",0,0,0,0,0,0,0,0.625710874115579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"323",0.632204012997124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"326",0,0,0,0,0,0.564667898934186,0,0,0.107170453291001,0,0,0,0,0,0,0,0,0,0,0,0,0
"327",0,0,0,0,0,0,0,0,0,0,0,0,0,0.645928771048902,0,0,0,0,0,0,0,0
"328",0,0.198217265837922,0.491238069022241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"332",0,0,0.243198839606817,0,0,0,0,0,0,0,0,0,0,0,0,0.132823605126281,0,0,0,0,0.193112763718175,0
"335",0,0,0,0.199048850498359,0,0,0,0,0,0,0,0,0,0.489686740871849,0,0,0,0,0,0,0,0
"339",0,0.199452225002319,0.459378555850388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"340",0,0,0.234438637012692,0,0,0,0,0.385064139708428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"341",0.48838403359888,0.117819657775708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"342",0,0,0,0,0,0,0,0,0.662767569494389,0,0,0,0,0,0,0,0,0,0,0,0,0
"345",0,0,0,0,0,0,0,0,0,0,0,0.644348680560562,0,0,0,0,0,0,0,0,0,0
"347",0,0,0,0,0,0,0,0,0.628059115327539,0,0,0,0,0,0,0,0,0,0,0,0,0
"348",0.481323024081581,0,0.131959599065337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"349",0,0,0,0,0.126043378152367,0.18989654599935,0,0,0.301304178602097,0,0,0,0,0,0,0,0,0,0,0,0,0
"351",0.624953570357891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"352",0,0,0,0,0,0,0,0.636751322047146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"353",0,0,0,0,0,0,0,0,0,0,0,0.64924836706055,0,0,0,0,0,0,0,0,0,0
"355",0,0,0,0,0,0,0,0,0.665721138944187,0,0,0,0,0,0,0,0,0,0,0,0,0
"356",0.193986079124147,0,0.109367491455445,0,0,0,0,0,0.111394231843816,0,0,0.159973875018241,0,0,0,0,0,0,0,0,0,0
"359",0,0,0,0.304942269634339,0.341290583241397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"362",0,0,0,0,0,0,0,0,0,0,0.623786605524976,0,0,0,0,0,0,0,0,0,0,0
"363",0,0,0,0,0.671069725603019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"364",0,0,0,0,0,0,0,0,0.570880829934701,0,0,0,0,0,0,0,0,0,0,0,0,0
"366",0.469725794663093,0,0.119355606699795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"371",0.488584480906641,0,0,0,0,0,0,0,0,0,0.158278860699269,0,0,0,0,0,0,0,0,0,0,0
"374",0,0,0,0,0,0,0,0,0,0,0.680991826746505,0,0,0,0,0,0,0,0,0,0,0
"378",0.383292229106557,0,0,0,0,0,0,0,0,0,0.169441893763668,0,0.104619499834242,0,0,0,0,0,0,0,0,0
"381",0,0,0,0,0,0,0,0.641704592679503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"382",0.483762566513488,0.175183287790845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"383",0,0,0,0,0.675806446894107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"384",0,0,0,0,0,0,0,0,0.624306857059364,0,0,0,0,0,0,0,0,0,0,0,0,0
"385",0.198896322145369,0,0,0,0.103337268853086,0.343580482695603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"386",0,0,0,0,0,0,0,0,0,0,0.68745369360364,0,0,0,0,0,0,0,0,0,0,0
"388",0,0,0,0,0,0,0,0.625063318171436,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"389",0.382879590367133,0.104265681835515,0,0,0,0,0.164207409483991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"390",0,0,0,0,0,0,0,0,0,0,0,0.631192113576079,0,0,0,0,0,0,0,0,0,0
"392",0,0,0,0,0,0,0,0,0.645718047679264,0,0,0,0,0,0,0,0,0,0,0,0,0
"393",0,0,0,0.226022264245544,0,0,0,0.390402786327823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"395",0.622812596274709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"396",0,0,0,0,0,0,0,0,0.64241335140979,0,0,0,0,0,0,0,0,0,0,0,0,0
"399",0,0,0,0,0.644933029851074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"400",0.148801888108432,0,0.123540829229988,0,0.104600645340498,0,0,0,0,0,0,0.19856905915826,0,0,0,0,0,0,0,0,0,0
"401",0.493843162210927,0,0,0,0,0,0,0,0,0,0.152007732928601,0,0,0,0,0,0,0,0,0,0,0
"402",0,0,0,0,0,0,0,0.625430864285529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"403",0,0,0,0,0,0,0,0.390224725223799,0.106879192695639,0,0,0,0,0,0.13725895011628,0,0,0,0,0,0,0
"404",0,0,0,0,0,0,0,0,0,0,0.621233149180636,0,0,0,0,0,0,0,0,0,0,0
"406",0.19856905915826,0,0,0,0.105548221214458,0.332918546456606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"407",0,0,0.102856738350881,0,0,0,0,0,0,0,0,0,0,0.391555947737014,0,0,0,0,0,0,0,0.16134405453242
"408",0,0,0,0,0,0,0,0,0,0,0,0.65055187819496,0,0,0,0,0,0,0,0,0,0
"409",0.446362998629739,0,0,0,0,0.180284093668211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"410",0.193986079124147,0.113122162889654,0,0,0.189161244523221,0.175449706103501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"412",0,0.720388270401394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"413",0.499961625460772,0,0,0,0,0,0,0,0,0,0.143638146970859,0,0,0,0,0,0,0,0,0,0,0
"414",0,0,0,0,0,0,0,0.644068711243179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"416",0,0,0,0,0.651979512955213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"417",0,0,0,0,0,0,0,0,0,0,0,0.633967248700116,0,0,0,0,0,0,0,0,0,0
"422",0,0,0,0,0,0,0,0,0,0,0,0.626857735363181,0,0,0,0,0,0,0,0,0,0
"423",0.516188388320292,0,0,0,0.105267618897797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"424",0,0,0,0,0,0,0,0.390029897471196,0,0,0,0,0,0,0.309190413746644,0,0,0,0,0,0,0
