"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"215",100.984516,1178.561351,"query.iter3_cl1","cl77_n66_Rlbp1_Oligo",0.0290835611117026,"Oligo","Glia"
"244",171.017247,1214.4361512,"query.iter3_cl1","cl77_n66_Rlbp1_Oligo",0.073336182920191,"Oligo","Glia"
"279",242.181608,1244.2315153,"query.iter2_cl3","cl89_i60_Clnk_Lamp5",0.313008802994028,"Lamp5","Inh"
"280",283.139679,1276.5935246,"query.iter3_cl1","cl77_n66_Rlbp1_Oligo",0.00797058122350923,"Oligo","Glia"
"303",58.181706,1138.9687779,"query.iter3_cl2","cl108_e49_NA_L4",0.0718679808884302,"L4","Ex"
"304",72.786752,1144.7870781,"query.iter3_cl7","cl211_e22_Ascl5_L23_IT",0.00854737633428779,"L2/3 IT","Ex"
"333",62.443035,1131.6908672,"query.iter3_cl0","cl44_e96_Chrna6_L5_PT",0.167496909335099,"L5 PT","Ex"
"335",312.669276,1280.3111519,"query.iter3_cl1","cl219_n22_Pdzph1_Astro",0.00954530019713631,"Astro","Glia"
"393",122.049802,1151.3893192,"query.iter3_cl1","cl98_n56_Cnn1_SMC",0.00835323528307596,"SMC","Endo"
"394",252.006474,1229.2309589,"query.iter3_cl1","cl184_n28_Pf4_Macrophage",0.0260545472963501,"Macrophage","Glia"
"424",55.549029,1106.9168801,"query.iter3_cl7","cl106_e50_Dlc1_L6_CT",0.00914077919161217,"L6 PT","Ex"
"452",61.697326,1096.4838228,"query.iter3_cl2","cl46_e95_Npc1l1_L5_IT",0.0769649899895016,"L5 IT","Ex"
"453",86.848318,1124.8344181,"query.iter3_cl2","cl46_e95_Npc1l1_L5_IT",0.0783995604375288,"L5 IT","Ex"
"454",89.901433,1117.2298895,"query.iter3_cl2","cl123_e45_Zbtb2_L23_IT",0.029520194662656,"L2/3 IT","Ex"
"480",103.062833,1121.5517187,"query.iter3_cl2","cl103_e53_NA_L23_IT",0.170922948490721,"L2/3 IT","Ex"
"481",123.710916,1134.438092,"query.iter3_cl0","cl156_e35_Gpr139_L6_CT",0.169222586298105,"L6 PT","Ex"
"483",243.534691,1198.4575533,"query.iter3_cl1","cl77_n66_Rlbp1_Oligo",0.0718679808884302,"Oligo","Glia"
"510",71.239595,1087.0928545,"query.iter3_cl2","cl226_e21_TrnL1_L23_IT",0.0791131707695726,"L2/3 IT","Ex"
"511",73.678583,1098.8879561,"query.iter3_cl7","cl106_e50_Dlc1_L6_CT",0.00245783618792733,"L6 PT","Ex"
"512",99.341585,1109.5186059,"query.iter3_cl0","cl247_e20_Pah_L5_IT",0.0762440491264995,"L5 IT","Ex"
"513",105.676905,1112.3160409,"query.iter3_cl7","cl44_e96_Chrna6_L5_PT",0.0286478195433566,"L5 PT","Ex"
"514",112.728838,1121.4025745,"query.iter3_cl4","cl108_e49_NA_L4",0.0755206855244186,"L4","Ex"
"515",130.710473,1132.257837,"query.iter3_cl1","cl1011_n13_Enpp6_Oligo",0.0277791834561747,"Oligo","Glia"
"517",371.877195,1275.2079739,"query.iter3_cl1","cl77_n66_Rlbp1_Oligo",0.0290835611117026,"Oligo","Glia"
"550",105.881022,1103.7364888,"query.iter3_cl2","cl1_e421_Cst3_L4",0.0703904395052166,"L4","Ex"
"551",120.229083,1111.4587495,"query.iter3_cl2","cl125_e44_Agmat_L23_IT",0.0755206855244186,"L2/3 IT","Ex"
"552",127.552796,1123.5862815,"query.iter3_cl2","cl123_e45_Zbtb2_L23_IT",0.0711303684686027,"L2/3 IT","Ex"
"553",158.083631,1137.6567983,"query.iter3_cl7","cl17_e147_Gng12_L6_CT",0.00759558419784623,"L6 PT","Ex"
"582",53.043464,1072.7816717,"query.iter3_cl1","cl77_n66_Rlbp1_Oligo",0.00835323528307596,"Oligo","Glia"
