"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"59815",0,1044.824999,"query.iter2_cl3","cl49_i90_Gpr149_Pvalb",0.5,"Pvalb","Inh"
"59816",32.443,905.322976,"query.iter3_cl2","cl49_i90_Gpr149_Pvalb",0.224588600805145,"Pvalb","Inh"
"59867",33.85107,914.367358,"query.iter3_cl3","cl13_n153_Ctla2a_Endo",0.5,"Endo","Endo"
"59868",49.02901,857.282974,"query.iter3_cl1","cl1011_n13_Enpp6_Oligo",0.5,"Oligo","Glia"
"59920",59.84166,819.355048,"query.iter3_cl0","cl16_n148_Cml3_Astro",0.0819178376258774,"Astro","Glia"
"59972",43.1074,932.810699,"query.iter3_cl6","cl184_n28_Pf4_Macrophage",0.5,"Macrophage","Glia"
"59973",47.79681,920.207281,"query.iter3_cl1","cl13_n153_Ctla2a_Endo",0.5,"Endo","Endo"
"59974",53.63987,900.844659,"query.iter2_cl7","cl49_i90_Gpr149_Pvalb",0.5,"Pvalb","Inh"
"60022",47.93577,926.454547,"query.iter3_cl3","cl41_n102_Selplg_Macrophage",0.0819178376258774,"Macrophage","Glia"
"60023",73.17002,843.58855,"query.iter3_cl0","cl41_n102_Selplg_Macrophage",0.201391847123238,"Macrophage","Glia"
"60083",50.92606,940.381178,"query.iter3_cl6","cl116_n47_Lgr6_Astro",0.5,"Astro","Glia"
"60084",62.14105,896.641079,"query.iter3_cl2","cl13_n153_Ctla2a_Endo",0.5,"Endo","Endo"
"60085",69.92857,861.930983,"query.iter3_cl0","cl1011_n13_Enpp6_Oligo",0.0778243455840267,"Oligo","Glia"
"60086",77.74313,837.575979,"query.iter3_cl2","cl165_n33_Kdelr3_VLMC",0.5,"VLMC","Glia"
"60087",78.59781,830.929588,"query.iter3_cl4","cl184_n28_Pf4_Macrophage",0.5,"Macrophage","Glia"
"60088",97.23776,743.417576,"query.iter3_cl1","cl41_n102_Selplg_Macrophage",0.5,"Macrophage","Glia"
"60134",65.51686,904.46693,"query.iter3_cl6","cl16_n148_Cml3_Astro",0.5,"Astro","Glia"
"60135",69.89717,900.778826,"query.iter3_cl5","cl32_n118_Opalin_Oligo",0.5,"Oligo","Glia"
"60136",70.97562,893.024047,"query.iter3_cl0","cl1011_n13_Enpp6_Oligo",0.229603658377577,"Oligo","Glia"
"60137",89.92021,817.952665,"query.iter3_cl8","cl184_n28_Pf4_Macrophage",0.5,"Macrophage","Glia"
"60139",126.80262,656.843549,"query.iter3_cl7","cl83_n62_Ccl19_VLMC",0.5,"VLMC","Glia"
"60140",138.55141,619.012574,"query.iter3_cl0","cl41_n102_Selplg_Macrophage",0.0736495693113381,"Macrophage","Glia"
"60141",147.63469,569.428741,"query.iter3_cl0","cl1011_n13_Enpp6_Oligo",0.0778243455840267,"Oligo","Glia"
"60187",80.76488,875.248822,"query.iter3_cl3","cl1011_n13_Enpp6_Oligo",0.5,"Oligo","Glia"
"60189",90.72566,822.307718,"query.iter3_cl3","cl83_n62_Ccl19_VLMC",0.5,"VLMC","Glia"
"60192",157.64851,568.170176,"query.iter3_cl0","cl1011_n13_Enpp6_Oligo",0.0736495693113381,"Oligo","Glia"
