"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"1",712.40142,204.8191896,"query.iter3_cl1","cl187_e26_Teddm2_L6_CT",0.314265546617935,"L6 PT","Ex"
"12",1217.39318,883.516611,"query.iter3_cl3","cl111_e48_Zar1l_L23_IT",0.5,"L2/3 IT","Ex"
"18",891.96394,1036.2727079,"query.iter3_cl0","cl102_e53_Tmem74b_L23_IT",0.314265546617935,"L2/3 IT","Ex"
"20",654.74648,973.4351562,"query.iter3_cl2","cl17_e147_Gng12_L6_CT",0.309080222359872,"L6 PT","Ex"
"22",645.90474,923.8821621,"query.iter3_cl0","cl226_e21_TrnL1_L23_IT",0.5,"L2/3 IT","Ex"
"25",826.40273,582.2065377,"query.iter3_cl6","cl1007_i56_NA_Pvalb",0.165745334438354,"Pvalb","Inh"
"27",998.92527,707.2615568,"query.iter3_cl4","cl211_e22_Ascl5_L23_IT",0.5,"L2/3 IT","Ex"
"28",693.43943,882.8577946,"query.iter3_cl3","cl6_e204_Exosc4_L23_IT",0.314265546617935,"L2/3 IT","Ex"
"30",1223.05004,55.0715925,"query.iter3_cl2","cl17_e147_Gng12_L6_CT",0.164859648656339,"L6 PT","Ex"
"35",550.73555,995.2338002,"query.iter3_cl2","cl41_n102_Selplg_Macrophage",0.304893961869927,"Macrophage","Glia"
"37",803.57956,285.9892198,"query.iter3_cl1","cl228_e21_Rev1_L6_CT",0.5,"L6 PT","Ex"
"40",923.48179,829.1017722,"query.iter3_cl3","cl6_e204_Exosc4_L23_IT",0.5,"L2/3 IT","Ex"
"45",829.91078,431.1958987,"query.iter3_cl8","cl69_e70_Depdc7_L5_PT",0.077683497116913,"L5 PT","Ex"
"47",1100.36398,917.4768402,"query.iter3_cl5","cl211_e22_Ascl5_L23_IT",0.314265546617935,"L2/3 IT","Ex"
"51",1046.56483,418.9559926,"query.iter3_cl8","cl69_e70_Depdc7_L5_PT",0.0740667389404011,"L5 PT","Ex"
"52",1161.52615,501.9140663,"query.iter3_cl7","cl69_e70_Depdc7_L5_PT",0.315497350745134,"L5 PT","Ex"
"53",662.02757,417.0369368,"query.iter2_cl4","cl23_i132_Myh13_Sst",0.5,"Sst","Inh"
"59",668.25106,325.8637704,"query.iter3_cl2","cl41_n102_Selplg_Macrophage",0.0247736031529989,"Macrophage","Glia"
"61",491.37814,999.3995065,"query.iter3_cl0","cl125_e44_Agmat_L23_IT",0.170922948490721,"L2/3 IT","Ex"
"62",479.65674,107.2724503,"query.iter3_cl2","cl41_n102_Selplg_Macrophage",0.156577441529148,"Macrophage","Glia"
