"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"1",993.64486,239.2197715,"query.0","cl228_e21_Rev1_L6_CT",0.986806161200152,"L6 PT","Ex"
"5",96.02786,562.7590279,"query.1","cl94_e57_Cyp39a1_L4",0.943794707672318,"L4","Ex"
"6",1073.41771,917.7730439,"query.2","cl102_e53_Tmem74b_L23_IT",0.981620453025519,"L2/3 IT","Ex"
"7",1097.78575,900.7173186,"query.2","cl210_e22_Spaca6_L23_IT",0.985136408346973,"L2/3 IT","Ex"
"9",237.11652,564.6141972,"query.7","cl90_i59_Rom1_Pvalb",0.986806161200152,"Pvalb","Inh"
"11",152.67729,99.7055773,"query.0","cl156_e35_Gpr139_L6_CT",0.792276351763248,"L6 PT","Ex"
"14",553.67919,613.0521607,"query.1","cl94_e57_Cyp39a1_L4",0.985136408346973,"L4","Ex"
"16",1241.11454,695.3292601,"query.6","cl94_e57_Cyp39a1_L4",0.989931624224827,"L4","Ex"
"18",268.92201,438.0388875,"query.7","cl185_i27_Slc4a7_Pvalb",0.997320086322684,"Pvalb","Inh"
"19",325.25761,639.1878382,"query.1","cl142_e38_Mamdc2_L4",0.998123894949563,"L4","Ex"
"23",1046.53956,678.212812,"query.5","cl163_e33_Nxf7_L4",0.995099158369119,"L4","Ex"
"24",618.23532,208.206538,"query.0","cl228_e21_Rev1_L6_CT",0.986806161200152,"L6 PT","Ex"
"25",273.84829,950.7575011,"query.3","cl181_e28_Nfkbid_L23_IT",0.99902711315313,"L2/3 IT","Ex"
"26",1228.55835,882.0296147,"query.7","cl160_i34_NA_Pvalb",0.99902711315313,"Pvalb","Inh"
"29",987.18095,460.2449089,"query.9","cl69_e70_Depdc7_L5_PT",0.99902711315313,"L5 PT","Ex"
"30",1219.18104,188.8899823,"query.0","cl126_e44_Traf5_L6_CT",0.926350430688662,"L6 PT","Ex"
"32",389.55901,219.9562176,"query.0","cl17_e147_Gng12_L6_CT",0.948310684664432,"L6 PT","Ex"
"34",564.00043,910.0618353,"query.10","cl248_i20_Lsmem1_Sst",0.995099158369119,"Sst","Inh"
"35",327.52012,553.1251501,"query.1","cl142_e38_Mamdc2_L4",0.988407198252632,"L4","Ex"
"36",1268.83275,426.4545262,"query.8","cl152_e35_Elf2_L5_IT",0.922175654415973,"L5 IT","Ex"
"40",1203.85858,338.0960579,"query.13","cl46_e95_Npc1l1_L5_IT",0.926350430688662,"L5 IT","Ex"
"43",505.14695,432.4331188,"query.7","cl135_i42_Ostn_Pvalb",0.986806161200152,"Pvalb","Inh"
"46",386.21408,315.6675128,"query.0","cl228_e21_Rev1_L6_CT",0.922175654415973,"L6 PT","Ex"
"49",728.87482,805.27541,"query.2","cl210_e22_Spaca6_L23_IT",0.985136408346973,"L2/3 IT","Ex"
"51",416.81537,585.2907023,"query.7","cl119_i46_Ccdc38_Pvalb",0.988407198252632,"Pvalb","Inh"
"52",978.36982,781.7526849,"query.5","cl196_e24_Zfp781_L4",0.926350430688662,"L4","Ex"
"57",784.82812,866.9832267,"query.5","cl142_e38_Mamdc2_L4",0.979788010331546,"L4","Ex"
"58",1120.00276,699.2807842,"query.5","cl148_e36_Mmel1_L4",0.926350430688662,"L4","Ex"
"60",670.82788,630.6331572,"query.1","cl146_e37_Rspo1_L4",0.983405469893637,"L4","Ex"
