"","L4","Vip","Lamp5","L5 NP","Sst","L5 IT","Oligo","L6 PT","L6 IT","Sncg","Pvalb","L2/3 IT","Astro","L5 PT","L6b","Endo","Peri","Meis2","Macrophage","CR","VLMC","SMC"
"3487",-1.94879026820721,-5.91294279887413,-7,-7,-5.99270964190846,-5.05230409571287,-7,-7,-7,-7,-7,-5.0402276176,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"377",-5.96382803033952,-7,-7,-7,-7,-0.790440799747136,-7,-7,-7,-7,-7,-5.0006999853,-7,-5.96681093978727,-7,-7,-7,-7,-7,-7,-7,-7
"761",-7,-7,-7,-7,3.4386408943806,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"3318",-7,-7,-7,-7,-7,-7,-7,-7,4.02768034144631,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"1692",-7,-7,-7,-7,-7,1.91079812793833,-7,-7,-5.0000243057,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"1682",-7,-7,-7,-7,-7,-7,-7,2.12639966939363,-7,-7,-7,-7,-7,-5,-7,-7,-7,-7,-7,-7,-7,-7
"4078",-7,-7,-7,-7,-7,-7,-7,-7,2.6140957543177,-7,-7,-5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"2931",-7,-7,-7,-7,-7,-7,-7,-1.44127130306041,-5.84887770519996,-7,-7,-3.19061370933713,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"3832",-7,-7,-7,-7,-7,-7,-7,-7,-5,-5,-7,-7,-7,-7,1.0811397107414,-7,-7,-7,-7,-7,-7,-7
"2821",-7,-7,-5.92227363695134,-7,-7,-5.69002172861828,-7,-7,-7,-7,-7,-3.32423638628195,-7,-2.45049727874825,-7,-7,-7,-7,-7,-7,-7,-7
"4904",-7,-7,-5.96681093978727,-7,-7,-7,-7,-7,-7,-7,3.28741013378226,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"3559",-5.96324090605104,-7,-7,-7,-7,1.84803381464135,-7,-7,-7,-7,-7,-7,-7,-5.0000000012,-7,-7,-7,-7,-7,-7,-7,-7
"2033",2.08359324281931,-7,-7,-7,-5.94579748110387,-7,-7,-7,-7,-7,-7,-7,-7,-5.95957602066309,-7,-7,-7,-7,-7,-7,-7,-7
"5549",-7,-7,-7,-7,-7,-7,-7,-7,4.37113145874724,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"5256",-7,-7,-7,-7,-7,0.823047700931422,-7,-7,-5.96681093978727,-7,-7,-7,-7,-5.62,-7,-7,-7,-7,-7,-7,-7,-7
"2761",-7,-7,-7,-7,3.90144316091026,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"947",-7,-7,-7,-7,-7,-7,-7,-7,3.10777190323719,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"3996",-7,-5.88314034934671,-7,-7,-7,-7,-7,-7,-1.46423460383292,-7,-7,-3.65070208934634,-7,-5.96324090605104,-7,-7,-7,-7,-7,-7,-7,-7
"2350",1.39410828037483,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-5.0000000003,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"3162",-5.06,-5.96382986893585,-7,-0.123887513053861,-7,-7,-7,-7,-7,-7,-7,-7,-7,-5.95957602066309,-7,-7,-7,-7,-7,-7,-7,-7
"5522",-7,-7,-7,-7,-7,-7,-7,-7,3.84196252450514,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"2618",-7,-5.589400494,-5.96681093978727,-7,-7,-7,-7,-7,-7,-7,1.43423943110543,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"367",3.98208686098037,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"3056",-1.77095341327711,-7,-7,-7,-7,-5.69528776675486,-7,-7,-5.0245864905,-7,-7,-5.2678133476746,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"3527",-7,-7,-7,-7,-7,-7,-7,-7,3.98319617284739,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"5764",-7,-7,-7,-7,-7,-5.96710008063969,-7,-1.82978587940719,-4.10722622788875,-7,-7,-7,-7,-7,-5.96969697,-7,-7,-7,-7,-7,-7,-7
"1630",-7,-7,-7,-7,-7,-7,-7,-7,-2.87563995800173,-7,-7,-1.72995506147206,-7,-5.96681093978727,-7,-7,-7,-7,-7,-7,-7,-7
"83",1.15543085039319,-7,-7,-7,-7,-7,-7,-5.97027281669395,-7,-7,-7,-5.003448569,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"737",1.19827026685374,-7,-7,-7,-7,-7,-7,-7,-5.96681093978727,-7,-7,-5.0000440381,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"4483",-7,-7,0.465459174474058,-7,-7,-7,-7,-7,-7,-7,-4.34137839519003,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"725",-7,-7,-7,-7,-7,-7,-7,-0.0233788067948739,-3.0862836202,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"1731",-5.96681093978727,-7,-7,-7,-7,-5.83536655815542,-7,-7,-3.97337145125672,-7,-7,-3.63471182407743,-7,-5.225557475,-7,-7,-7,-7,-7,-7,-7,-7
"4360",-5.632158087,-7,-7,-7,-7,-5.826241910348,-7,-7,-5.96342216259339,-7,-7,-0.525265769755791,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"2588",-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1.60057020980219,-7,-5.96681093978727,-7,-5.95273894354829,-7,-7,-7,-7,-7,-7
"71",-5.97027281669395,-7,-7,-7,-7,1.72082618286942,-7,-7,-5.0000028875,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"5142",-7,-7,-7,-7,-7,-7,-7,-5.09,-5,-7,-7,-7,-7,-7,0.971375130332545,-7,-7,-7,-7,-7,-7,-7
"1163",-1.67318685876779,-5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3.26686914962304,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"394",-5.2591241668,-7,-7,-7,-7,-2.22005160627753,-7,-7,-7,-7,-7,-3.7332733020558,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"1556",1.956350757229,-7,-7,-7,-7,-7,-7,-7,-5.99270964190846,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"4346",-7,-1.84291396751447,-7,-7,-7,-7,-3.03200412482255,-7,-5.0022998567,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
