"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"1",9428.77577715789,8798.33373598945,"query.iter3_cl2","cl17_e147_Gng12_L6_CT",0.013193838799848,"L6 PT","Ex"
"3",5518.32668590217,14650.3331924721,"query.iter2_cl0","cl153_i35_Mir384_Pvalb",0.0736495693113381,"Pvalb","Inh"
"5",5998.50028874056,17729.9994726034,"query.iter3_cl11","cl189_e26_C1ql2_L5_PT",0.0202119896684543,"L5 PT","Ex"
"6",5951.61953211529,4534.52919166218,"query.iter3_cl7","cl44_e96_Chrna6_L5_PT",0.0148635916530273,"L5 PT","Ex"
"9",9015.47586226568,16983.6377826868,"query.iter3_cl1","cl44_e96_Chrna6_L5_PT",0.0183795469744811,"L5 PT","Ex"
"11",10534.7475787829,19435.6964437411,"query.iter3_cl5","cl197_e24_Cfap54_L23_IT",0.0819178376258774,"L2/3 IT","Ex"
"13",9768.94410967243,18075.5427988378,"query.iter2_cl0","cl241_i20_Fv1_Pvalb",0.0778243455840267,"Pvalb","Inh"
"14",5111.27185429956,15879.4674750338,"query.iter2_cl2","cl90_i59_Rom1_Pvalb",0.0202119896684543,"Pvalb","Inh"
"16",13981.8238550976,5228.53197556885,"query.iter3_cl13","cl150_e36_Car3_L6_IT",0.0183795469744811,"L6 IT","Ex"
"18",16908.4207350762,11312.0382935141,"query.iter3_cl0","cl44_e96_Chrna6_L5_PT",0.013193838799848,"L5 PT","Ex"
"19",13323.8556454485,3079.5102232798,"query.iter3_cl1","cl44_e96_Chrna6_L5_PT",0.0183795469744811,"L5 PT","Ex"
"20",15281.9961699582,12904.7941325447,"query.iter3_cl9","cl44_e96_Chrna6_L5_PT",0.0183795469744811,"L5 PT","Ex"
"21",7879.46350695188,19046.937590227,"query.iter3_cl3","cl17_e147_Gng12_L6_CT",0.016594530106363,"L6 PT","Ex"
"22",14845.0484561331,12740.1572363712,"query.iter3_cl5","cl6_e204_Exosc4_L23_IT",0.229603658377577,"L2/3 IT","Ex"
"23",29.168226395466,14828.2457290988,"query.iter3_cl7","cl74_e68_Napsa_L6b",0.0183795469744811,"L6b","Ex"
"25",12977.9056204252,9680.21310038565,"query.iter2_cl1","cl231_i21_Gramd1c_Vip",0.016594530106363,"Vip","Inh"
"27",14793.3164457293,8898.35792182342,"query.iter3_cl8","cl146_e37_Rspo1_L4",0.0183795469744811,"L4","Ex"
"30",10658.0048671908,4017.34719064661,"query.iter3_cl3","cl44_e96_Chrna6_L5_PT",0.013193838799848,"L5 PT","Ex"
"33",10860.3702746132,18089.5587121165,"query.iter3_cl5","cl6_e204_Exosc4_L23_IT",0.0736495693113381,"L2/3 IT","Ex"
"34",18455.0999562312,6059.25680763502,"query.iter3_cl0","cl44_e96_Chrna6_L5_PT",0.0148635916530273,"L5 PT","Ex"
"35",14962.2524027158,13837.3131052396,"query.iter3_cl9","cl8_e168_Adam8_L6_IT",0.0148635916530273,"L6 IT","Ex"
"36",10495.3550892862,17691.6896749776,"query.iter3_cl9","cl62_e76_Apaf1_L23_IT",0.013193838799848,"L2/3 IT","Ex"
"37",10508.4133514697,8456.66683858644,"query.iter3_cl2","cl228_e21_Rev1_L6_CT",0.0183795469744811,"L6 PT","Ex"
"40",15406.567401013,10077.8316908011,"query.iter3_cl0","cl62_e76_Apaf1_L23_IT",0.0148635916530273,"L2/3 IT","Ex"
"41",7524.90971937708,15606.5020213161,"query.iter2_cl2","cl241_i20_Fv1_Pvalb",0.0693958692118049,"Pvalb","Inh"
"42",17526.0656325378,4361.28326339475,"query.iter3_cl0","cl6_e204_Exosc4_L23_IT",0.016594530106363,"L2/3 IT","Ex"
"43",10112.879469346,18608.3469092365,"query.iter3_cl5","cl102_e53_Tmem74b_L23_IT",0.0183795469744811,"L2/3 IT","Ex"
"45",11790.8170780217,8935.74365307946,"query.iter3_cl11","cl69_e70_Depdc7_L5_PT",0.0650668408440342,"L5 PT","Ex"
"47",16950.2810460039,9087.1881481982,"query.iter3_cl5","cl6_e204_Exosc4_L23_IT",0.0819178376258774,"L2/3 IT","Ex"
"48",15472.3366445806,5483.03197839648,"query.iter3_cl3","cl18_i146_Car4_Vip",0.0148635916530273,"Vip","Inh"
"51",12721.2175195565,7150.67953947771,"query.iter3_cl11","cl69_e70_Depdc7_L5_PT",0.238873904950228,"L5 PT","Ex"
"52",13927.9529460176,6627.91630262815,"query.iter3_cl10","cl191_e26_Chadl_L6_IT",0.016594530106363,"L6 IT","Ex"
"53",10881.3913360496,10206.7908037617,"query.iter2_cl2","cl1006_i68_Hpse_Sst",0.0693958692118049,"Sst","Inh"
"55",4150.92916194882,16730.3675090414,"query.iter3_cl4","cl1002_i29_Nts_Sst",0.013193838799848,"Sst","Inh"
"57",7301.5293916869,15460.9485469548,"query.iter3_cl6","cl36_i104_Rspo4_Vip",0.016594530106363,"Vip","Inh"
"59",10184.1622491145,9724.5893050008,"query.iter3_cl4","cl217_e22_Dnah14_L6_IT",0.0183795469744811,"L6 IT","Ex"
"61",14713.8225593227,14330.2270659423,"query.iter3_cl5","cl197_e24_Cfap54_L23_IT",0.0819178376258774,"L2/3 IT","Ex"
"62",7546.90008578848,10190.7502451449,"query.iter4_cl0","cl18_i146_Car4_Vip",0.016594530106363,"Vip","Inh"
"64",8315.28327776706,20583.0522786709,"query.iter3_cl5","cl197_e24_Cfap54_L23_IT",0.0202119896684543,"L2/3 IT","Ex"
"66",14081.8217832828,7710.31288223938,"query.iter3_cl6","cl228_e21_Rev1_L6_CT",0.0148635916530273,"L6 PT","Ex"
"69",10006.860384247,8851.15747915208,"query.iter2_cl1","cl231_i21_Gramd1c_Vip",0.016594530106363,"Vip","Inh"
"70",9424.84843694979,11172.1382628265,"query.iter3_cl4","cl172_e31_Htr6_L6_IT",0.0183795469744811,"L6 IT","Ex"
"71",9396.56324230055,10889.7874300345,"query.iter3_cl10","cl145_e37_Zfat_L4",0.0148635916530273,"L4","Ex"
"72",7486.5932524896,4891.23857398895,"query.iter3_cl7","cl214_e22_Rttn_L6_CT",0.0202119896684543,"L6 PT","Ex"
"73",9869.6561520497,16403.6094970458,"query.iter3_cl5","cl210_e22_Spaca6_L23_IT",0.19464213654883,"L2/3 IT","Ex"
"74",14879.4685378278,3478.40008135161,"query.iter2_cl1","cl132_i43_Fbn1_Vip",0.0606676251792411,"Vip","Inh"
"77",14192.4069870936,5318.48227438614,"query.iter3_cl10","cl4_e253_Lgmn_L5_IT",0.0183795469744811,"L5 IT","Ex"
"78",9101.91721797904,19075.0951308865,"query.iter3_cl0","cl6_e204_Exosc4_L23_IT",0.0148635916530273,"L2/3 IT","Ex"
"79",5721.0113419799,13106.7029666984,"query.iter3_cl2","cl106_e50_Dlc1_L6_CT",0.0183795469744811,"L6 PT","Ex"
"80",5855.70371312102,15407.1269009726,"query.iter3_cl6","cl17_e147_Gng12_L6_CT",0.0183795469744811,"L6 PT","Ex"
"81",6150.05844956863,10591.9184470851,"query.iter4_cl2","cl1002_i29_Nts_Sst",0.016594530106363,"Sst","Inh"
"83",12531.7287064861,13155.6092919562,"query.iter3_cl8","cl17_e147_Gng12_L6_CT",0.0148635916530273,"L6 PT","Ex"
"85",9541.08946905536,17718.6981793893,"query.iter3_cl9","cl185_i27_Slc4a7_Pvalb",0.016594530106363,"Pvalb","Inh"
"87",14614.074438928,10191.2453354605,"query.iter3_cl9","cl27_e121_Gadd45a_L6_CT",0.0183795469744811,"L6 PT","Ex"
"91",1074.86598189845,14159.0080174653,"query.iter3_cl11","cl20_e142_Rap2a_L5_PT",0.0859286695313997,"L5 PT","Ex"
"92",5066.12611796605,15121.8928751095,"query.iter3_cl2","cl228_e21_Rev1_L6_CT",0.0183795469744811,"L6 PT","Ex"
"94",1022.83777622169,15423.5655920519,"query.iter2_cl0","cl212_i22_Cemip_Pvalb",0.2192890130405,"Pvalb","Inh"
"96",10536.6257857463,7644.88873297191,"query.iter3_cl2","cl191_e26_Chadl_L6_IT",0.016594530106363,"L6 IT","Ex"
"97",1097.51513677499,15570.9051440378,"query.iter3_cl6","cl228_e21_Rev1_L6_CT",0.0148635916530273,"L6 PT","Ex"
"98",5450.21966125138,16023.4486535926,"query.iter3_cl4","cl61_e77_Mir221_L6_IT",0.0183795469744811,"L6 IT","Ex"
"99",15553.8594955371,2537.34644770665,"query.iter2_cl3","cl231_i21_Gramd1c_Vip",0.016594530106363,"Vip","Inh"
"100",5621.60345323428,14949.625926061,"query.iter3_cl4","cl17_e147_Gng12_L6_CT",0.0148635916530273,"L6 PT","Ex"
"101",12343.9861523049,3085.71618480419,"query.iter3_cl12","cl228_e21_Rev1_L6_CT",0.238873904950228,"L6 PT","Ex"
"103",5317.6031894249,16021.9425319688,"query.iter3_cl4","cl218_e22_P4ha3_L6_IT",0.013193838799848,"L6 IT","Ex"
"104",8750.52756387552,2926.09326082281,"query.iter3_cl3","cl8_e168_Adam8_L6_IT",0.013193838799848,"L6 IT","Ex"
"106",10298.1828043642,1906.98398400549,"query.iter3_cl3","cl8_e168_Adam8_L6_IT",0.0148635916530273,"L6 IT","Ex"
"107",12242.715914131,3354.85317016812,"query.iter3_cl3","cl1002_i29_Nts_Sst",0.011592801747368,"Sst","Inh"
"108",15777.6197490661,9101.46362134704,"query.iter3_cl5","cl210_e22_Spaca6_L23_IT",0.0736495693113381,"L2/3 IT","Ex"
"109",13592.075147199,2560.47426262051,"query.iter3_cl4","cl191_e26_Chadl_L6_IT",0.0183795469744811,"L6 IT","Ex"
"111",9745.33144022185,9236.38146651773,"query.iter3_cl4","cl101_e53_Zmiz1os1_L6_IT",0.0183795469744811,"L6 IT","Ex"
"113",18620.3189902042,5985.67660215649,"query.iter2_cl1","cl227_i21_Pla2g4e_Lamp5",0.0202119896684543,"Lamp5","Inh"
"114",12143.9433559195,13482.9944289371,"query.iter3_cl1","cl44_e96_Chrna6_L5_PT",0.0183795469744811,"L5 PT","Ex"
"117",8155.89700333506,8269.39224486704,"query.iter3_cl12","cl156_e35_Gpr139_L6_CT",0.0220856724542213,"L6 PT","Ex"
"120",9029.29183114836,16788.9711642305,"query.iter3_cl1","cl8_e168_Adam8_L6_IT",0.0183795469744811,"L6 IT","Ex"
"122",8432.53396712575,15952.2158315717,"query.iter3_cl6","cl44_e96_Chrna6_L5_PT",0.016594530106363,"L5 PT","Ex"
"123",6416.26919186887,19103.4102301044,"query.iter2_cl0","cl153_i35_Mir384_Pvalb",0.0819178376258774,"Pvalb","Inh"
"124",16601.5966541074,7721.69230219164,"query.iter3_cl9","cl44_e96_Chrna6_L5_PT",0.016594530106363,"L5 PT","Ex"
"126",4040.9187479035,14359.7130019408,"query.iter3_cl3","cl74_e68_Napsa_L6b",0.011592801747368,"L6b","Ex"
"129",13357.4276181263,10772.0927725617,"query.iter3_cl8","cl145_e37_Zfat_L4",0.0183795469744811,"L4","Ex"
"131",15347.2084273932,7713.29400783296,"query.iter3_cl9","cl44_e96_Chrna6_L5_PT",0.0183795469744811,"L5 PT","Ex"
"134",9560.79428723592,10281.0932054312,"query.iter3_cl9","cl103_e53_NA_L23_IT",0.0148635916530273,"L2/3 IT","Ex"
"136",6575.40976386995,14887.6891806751,"query.iter2_cl0","cl119_i46_Ccdc38_Pvalb",0.0650668408440342,"Pvalb","Inh"
"137",13651.8782858038,9526.57381093943,"query.iter3_cl9","cl17_e147_Gng12_L6_CT",0.013193838799848,"L6 PT","Ex"
"138",13340.9478336551,3521.5511574782,"query.iter3_cl4","cl191_e26_Chadl_L6_IT",0.0183795469744811,"L6 IT","Ex"
"139",9208.96769977685,14100.2051719253,"query.iter3_cl6","cl191_e26_Chadl_L6_IT",0.013193838799848,"L6 IT","Ex"
"140",9245.88497857832,10829.4073815804,"query.iter3_cl4","cl191_e26_Chadl_L6_IT",0.0183795469744811,"L6 IT","Ex"
"141",8003.87944169268,4155.80948178015,"query.iter3_cl7","cl190_e26_Cdh15_L5_PT",0.0183795469744811,"L5 PT","Ex"
"142",10552.533221754,6911.31056079937,"query.iter3_cl4","cl191_e26_Chadl_L6_IT",0.0148635916530273,"L6 IT","Ex"
"143",12176.3250239334,13960.7502671385,"query.iter3_cl0","cl111_e48_Zar1l_L23_IT",0.011592801747368,"L2/3 IT","Ex"
"144",11924.2230312276,2276.28780746193,"query.iter3_cl6","cl17_e147_Gng12_L6_CT",0.0202119896684543,"L6 PT","Ex"
"147",12445.0985917602,10857.7722830079,"query.iter3_cl1","cl44_e96_Chrna6_L5_PT",0.016594530106363,"L5 PT","Ex"
"148",6408.84370239848,15197.0995925785,"query.iter3_cl4","cl76_e66_Pou2f2_L6_IT",0.0148635916530273,"L6 IT","Ex"
"150",11163.3782818621,13026.3725724679,"query.iter3_cl1","cl74_e68_Napsa_L6b",0.0148635916530273,"L6b","Ex"
"151",6456.77234617891,13859.3884285122,"query.iter3_cl4","cl17_e147_Gng12_L6_CT",0.0183795469744811,"L6 PT","Ex"
"156",8407.60760048532,8673.4868862756,"query.iter3_cl6","cl191_e26_Chadl_L6_IT",0.013193838799848,"L6 IT","Ex"
"157",17253.6169760932,4705.89894839378,"query.iter3_cl5","cl226_e21_TrnL1_L23_IT",0.0693958692118049,"L2/3 IT","Ex"
"158",12563.1483516688,6116.05366223042,"query.iter3_cl4","cl101_e53_Zmiz1os1_L6_IT",0.0183795469744811,"L6 IT","Ex"
