"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"2",13107.0389729132,7263.14650852598,"query.iter3_cl6","cl156_e35_Gpr139_L6_CT",0.7807109869595,"L6 PT","Ex"
"4",12890.3446636428,7560.74293949012,"query.iter3_cl6","cl156_e35_Gpr139_L6_CT",0.7807109869595,"L6 PT","Ex"
"8",790.713332831734,11995.3023721535,"query.iter3_cl0","cl1_e421_Cst3_L4",0.792276351763248,"L4","Ex"
"12",13418.676828425,17893.9610847555,"query.iter3_cl1","cl6_e204_Exosc4_L23_IT",0.926350430688662,"L2/3 IT","Ex"
"20",14344.7932195939,9494.04509876828,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.5,"L5 PT","Ex"
"26",7272.50304978406,10286.4817196287,"query.iter2_cl2","cl1005_i24_Pcdhb20_Sst",0.761126095049772,"Sst","Inh"
"31",9392.66080741509,17541.2696549207,"query.iter3_cl1","cl111_e48_Zar1l_L23_IT",0.939332374820759,"L2/3 IT","Ex"
"33",9235.08393759635,15107.969690166,"query.iter3_cl1","cl197_e24_Cfap54_L23_IT",0.989931624224827,"L2/3 IT","Ex"
"38",16678.8909440758,10722.9169634425,"query.iter3_cl5","cl148_e36_Mmel1_L4",0.989931624224827,"L4","Ex"
"39",12492.5541386437,13810.7916118949,"query.iter3_cl0","cl186_e26_Zfp882_L4",0.770396341622423,"L4","Ex"
"42",15273.2431568446,17104.4490935782,"query.iter3_cl1","cl226_e21_TrnL1_L23_IT",0.926350430688662,"L2/3 IT","Ex"
"44",15415.3537380314,10405.791457976,"query.iter2_cl1","cl188_i26_Cgn_Pvalb",0.922175654415973,"Pvalb","Inh"
"45",6244.04635950058,9575.29139181814,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.985136408346973,"L5 PT","Ex"
"50",8217.03813902593,7184.42193776064,"query.iter3_cl6","cl156_e35_Gpr139_L6_CT",0.934933159155966,"L6 PT","Ex"
"54",465.92387206624,13752.8406819897,"query.iter3_cl0","cl94_e57_Cyp39a1_L4",0.985136408346973,"L4","Ex"
"61",16269.3614786705,12987.3644209321,"query.iter2_cl1","cl135_i42_Ostn_Pvalb",0.82030161458974,"Pvalb","Inh"
"64",11025.0948118128,14398.8626870499,"query.iter3_cl1","cl111_e48_Zar1l_L23_IT",0.934933159155966,"L2/3 IT","Ex"
"66",10695.5312312968,10648.45738839,"query.iter2_cl1","cl49_i90_Gpr149_Pvalb",0.939332374820759,"Pvalb","Inh"
"70",12365.7152653026,9476.95468507774,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.7807109869595,"L5 PT","Ex"
"73",11982.9004001616,17011.7157923232,"query.iter3_cl1","cl111_e48_Zar1l_L23_IT",0.983405469893637,"L2/3 IT","Ex"
"74",9141.25119726734,16693.9753045438,"query.iter3_cl1","cl6_e204_Exosc4_L23_IT",0.837563951116237,"L2/3 IT","Ex"
"77",6626.36351910383,9560.4072245718,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.775411399194855,"L5 PT","Ex"
"80",10181.8307192288,14659.8668074058,"query.iter2_cl1","cl135_i42_Ostn_Pvalb",0.939332374820759,"Pvalb","Inh"
"84",14757.4393548639,17056.3388017353,"query.iter2_cl3","cl63_i73_Tac2_Vip",0.761126095049772,"Vip","Inh"
"87",14498.2459579139,13438.1265760975,"query.iter3_cl0","cl108_e49_NA_L4",0.5,"L4","Ex"
"88",12873.1155310742,17286.8037155726,"query.iter3_cl1","cl102_e53_Tmem74b_L23_IT",0.837563951116237,"L2/3 IT","Ex"
"91",13508.9420715386,17515.1452225072,"query.iter2_cl0","cl188_i26_Cgn_Pvalb",0.5,"Pvalb","Inh"
"93",16387.4586155148,14422.6884159241,"query.iter3_cl1","cl111_e48_Zar1l_L23_IT",0.983405469893637,"L2/3 IT","Ex"
"100",10886.6319184127,16490.3517363206,"query.iter3_cl1","cl102_e53_Tmem74b_L23_IT",0.943794707672318,"L2/3 IT","Ex"
"101",9320.25753234898,6621.00446308029,"query.iter2_cl2","cl120_i46_Cers6_Sst",0.761126095049772,"Sst","Inh"
"102",9093.92764910012,9084.23954076819,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.939332374820759,"L5 PT","Ex"
"106",12795.1697432741,13393.8511313142,"query.iter3_cl0","cl196_e24_Zfp781_L4",0.770396341622423,"L4","Ex"
"109",12550.2555946819,10673.4998318346,"query.iter2_cl2","cl1005_i24_Pcdhb20_Sst",0.922175654415973,"Sst","Inh"
"110",10433.25847227,11275.7335450964,"query.iter3_cl5","cl78_e65_NA_L5_IT",0.926350430688662,"L5 IT","Ex"
"111",16885.7198256623,10700.0910000071,"query.iter3_cl5","cl1001_e62_Cryba2_L5_IT",0.939332374820759,"L5 IT","Ex"
"112",15248.3403727946,1264.02368108415,"query.iter2_cl2","cl1005_i24_Pcdhb20_Sst",0.926350430688662,"Sst","Inh"
"113",14809.1542006809,19226.9555873415,"query.iter2_cl3","cl63_i73_Tac2_Vip",0.761126095049772,"Vip","Inh"
"114",15320.5066517775,16590.6986999711,"query.iter3_cl1","cl102_e53_Tmem74b_L23_IT",0.939332374820759,"L2/3 IT","Ex"
"115",6613.45678351878,3558.21624909829,"query.iter3_cl6","cl156_e35_Gpr139_L6_CT",0.926350430688662,"L6 PT","Ex"
"117",4988.88567158793,12523.2035396389,"query.iter3_cl5","cl1001_e62_Cryba2_L5_IT",0.939332374820759,"L5 IT","Ex"
"120",12835.0036743488,12274.9847459538,"query.iter3_cl3","cl1_e421_Cst3_L4",0.5,"L4","Ex"
"121",5723.61795750815,9000.24308343943,"query.iter3_cl4","cl44_e96_Chrna6_L5_PT",0.775411399194855,"L5 PT","Ex"
"122",14705.6422398164,8870.10286796717,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.775411399194855,"L5 PT","Ex"
"123",9508.05158097451,15127.577012587,"query.iter3_cl0","cl1_e421_Cst3_L4",0.983405469893637,"L4","Ex"
"126",13051.2338521637,11023.4440320876,"query.iter3_cl5","cl148_e36_Mmel1_L4",0.926350430688662,"L4","Ex"
"131",10581.6037826993,14775.5435946341,"query.iter3_cl0","cl94_e57_Cyp39a1_L4",0.992717841929891,"L4","Ex"
"134",512.025302836591,12990.4322546769,"query.iter3_cl0","cl145_e37_Zfat_L4",0.756830429353618,"L4","Ex"
"137",2804.55340796295,12556.9469933446,"query.iter3_cl0","cl108_e49_NA_L4",0.5,"L4","Ex"
"138",14297.4074746383,11130.6619755309,"query.iter3_cl5","cl163_e33_Nxf7_L4",0.943794707672318,"L4","Ex"
"147",654.077435068692,8773.12958053334,"query.iter3_cl5","cl196_e24_Zfp781_L4",0.943794707672318,"L4","Ex"
"149",8699.931122702,16684.6841871292,"query.iter2_cl1","cl185_i27_Slc4a7_Pvalb",0.926350430688662,"Pvalb","Inh"
"153",4233.20699354793,8730.3475704928,"query.iter3_cl4","cl179_e29_Cldn23_L5_PT",0.5,"L5 PT","Ex"
"154",13428.1375051854,5143.81856754602,"query.iter2_cl2","cl1005_i24_Pcdhb20_Sst",0.922175654415973,"Sst","Inh"
"156",9592.01127604935,11239.4630317958,"query.iter2_cl1","cl49_i90_Gpr149_Pvalb",0.939332374820759,"Pvalb","Inh"
"157",1804.5330379613,5515.30267836591,"query.iter2_cl3","cl36_i104_Rspo4_Vip",0.934933159155966,"Vip","Inh"
"159",13695.0964880582,9134.13509551983,"query.iter4_cl2","cl101_e53_Zmiz1os1_L6_IT",0.5,"L6 IT","Ex"
"160",15650.9663594778,9340.69632087976,"query.iter2_cl1","cl49_i90_Gpr149_Pvalb",0.939332374820759,"Pvalb","Inh"
"161",6535.78145321314,15131.215867917,"query.iter3_cl0","cl94_e57_Cyp39a1_L4",0.952867846579395,"L4","Ex"
"164",9159.74879748886,14855.6500193501,"query.iter3_cl0","cl1_e421_Cst3_L4",0.798608152876762,"L4","Ex"
"165",8132.20812765489,16691.8928124627,"query.iter3_cl1","cl181_e28_Nfkbid_L23_IT",0.934933159155966,"L2/3 IT","Ex"
"166",13088.0561886719,10432.2454596518,"query.iter3_cl5","cl1008_e40_NA_L5_IT",0.939332374820759,"L5 IT","Ex"
"168",76.6957375916344,9297.48228234438,"query.iter2_cl1","cl185_i27_Slc4a7_Pvalb",0.930604130788195,"Pvalb","Inh"
"170",8703.17461295236,15232.7069770075,"query.iter3_cl0","cl145_e37_Zfat_L4",0.930604130788195,"L4","Ex"
"171",10786.1794696756,19280.5868533726,"query.iter2_cl3","cl36_i104_Rspo4_Vip",0.934933159155966,"Vip","Inh"
"173",13756.3597173306,17434.1071685346,"query.iter3_cl1","cl111_e48_Zar1l_L23_IT",0.934933159155966,"L2/3 IT","Ex"
"176",6325.94310062398,9127.0920223856,"query.iter3_cl4","cl20_e142_Rap2a_L5_PT",0.770396341622423,"L5 PT","Ex"
"177",12307.4714873151,19397.2091709402,"query.iter2_cl3","cl36_i104_Rspo4_Vip",0.939332374820759,"Vip","Inh"
"178",13393.2749468423,9634.10903572773,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.770396341622423,"L5 PT","Ex"
"184",6740.13625272471,9824.31848915278,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.939332374820759,"L5 PT","Ex"
"185",1037.02969903154,5449.78950424115,"query.iter3_cl6","cl228_e21_Rev1_L6_CT",0.837563951116237,"L6 PT","Ex"
"188",9378.50582738085,7351.79677026939,"query.iter2_cl2","cl97_i57_Pdyn_Sst",0.765641708776896,"Sst","Inh"
"191",11528.5848659732,9605.72281850886,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.770396341622423,"L5 PT","Ex"
"192",98.5031311512185,13364.1452203838,"query.iter3_cl0","cl1_e421_Cst3_L4",0.922175654415973,"L4","Ex"
"193",5384.81267094717,12551.6907218848,"query.iter3_cl0","cl1_e421_Cst3_L4",0.752737666058065,"L4","Ex"
"195",17159.2406525935,9315.06927657984,"query.iter2_cl1","cl49_i90_Gpr149_Pvalb",0.939332374820759,"Pvalb","Inh"
"199",12428.2049635634,7184.71954358286,"query.iter3_cl6","cl228_e21_Rev1_L6_CT",0.7807109869595,"L6 PT","Ex"
"200",16788.05375863,7314.16328388273,"query.iter2_cl2","cl1005_i24_Pcdhb20_Sst",0.926350430688662,"Sst","Inh"
"208",10866.5382162304,9987.26924245196,"query.iter3_cl5","cl1008_e40_NA_L5_IT",0.957450033742165,"L5 IT","Ex"
"211",3070.66090872325,12556.4805039286,"query.iter3_cl0","cl94_e57_Cyp39a1_L4",0.952867846579395,"L4","Ex"
"212",10586.1769697962,8924.11596340168,"query.iter2_cl1","cl49_i90_Gpr149_Pvalb",0.939332374820759,"Pvalb","Inh"
"215",6954.64829571647,15568.5683646708,"query.iter3_cl1","cl226_e21_TrnL1_L23_IT",0.80535786345117,"L2/3 IT","Ex"
"217",8861.70404874422,15693.4716954927,"query.iter3_cl1","cl197_e24_Cfap54_L23_IT",0.986806161200152,"L2/3 IT","Ex"
"218",10964.4660397192,9227.64297060344,"query.iter3_cl5","cl4_e253_Lgmn_L5_IT",0.989931624224827,"L5 IT","Ex"
"219",7121.05787099483,8855.40443314305,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.962036518508721,"L5 PT","Ex"
"221",16290.712403196,6730.41220477129,"query.iter3_cl6","cl228_e21_Rev1_L6_CT",0.837563951116237,"L6 PT","Ex"
"223",9130.59552338522,9465.8858505151,"query.iter2_cl1","cl49_i90_Gpr149_Pvalb",0.765641708776896,"Pvalb","Inh"
"228",659.276599423704,11087.2715091173,"query.iter3_cl3","cl102_e53_Tmem74b_L23_IT",0.5,"L2/3 IT","Ex"
"231",15552.0870325126,7265.20177987523,"query.iter2_cl1","cl185_i27_Slc4a7_Pvalb",0.930604130788195,"Pvalb","Inh"
"232",3441.91268608706,7928.71256339819,"query.iter3_cl4","cl190_e26_Cdh15_L5_PT",0.5,"L5 PT","Ex"
"233",12122.8512148913,6726.02974708176,"query.iter3_cl6","cl156_e35_Gpr139_L6_CT",0.837563951116237,"L6 PT","Ex"
"234",1207.03255353361,6840.87734320929,"query.iter2_cl2","cl58_i81_Tmem255a_Sst",0.765641708776896,"Sst","Inh"
"235",14190.6207587261,17245.1979236213,"query.iter3_cl1","cl111_e48_Zar1l_L23_IT",0.939332374820759,"L2/3 IT","Ex"
"237",13650.6030061458,13601.4533867998,"query.iter3_cl0","cl94_e57_Cyp39a1_L4",0.5,"L4","Ex"
"242",12973.2903384001,6939.24671347735,"query.iter3_cl6","cl156_e35_Gpr139_L6_CT",0.926350430688662,"L6 PT","Ex"
"243",15791.1723281756,7897.30181732304,"query.iter2_cl2","cl1005_i24_Pcdhb20_Sst",0.761126095049772,"Sst","Inh"
"244",9302.81869119121,14662.8333110217,"query.iter3_cl3","cl181_e28_Nfkbid_L23_IT",0.5,"L2/3 IT","Ex"
"254",9722.80384562839,12687.3905558317,"query.iter3_cl5","cl94_e57_Cyp39a1_L4",0.926350430688662,"L4","Ex"
