"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"1",9261.0352527392,15447.259474522,"query.iter3_cl0","cl27_e121_Gadd45a_L6_CT",0.926350430688662,"L6 PT","Ex"
"2",6019.32905821634,20710.3468629556,"query.iter3_cl8","cl61_e77_Mir221_L6_IT",0.765641708776896,"L6 IT","Ex"
"4",20329.8806896079,7044.65787966778,"query.iter3_cl10","cl4_e253_Lgmn_L5_IT",0.957450033742165,"L5 IT","Ex"
"5",15485.9729993723,8216.10850888136,"query.iter3_cl13","cl247_e20_Pah_L5_IT",0.756830429353618,"L5 IT","Ex"
"6",5229.68686719054,9931.0963772277,"query.iter3_cl1","cl102_e53_Tmem74b_L23_IT",0.983405469893637,"L2/3 IT","Ex"
"7",5101.37462949221,10199.4354973928,"query.iter3_cl1","cl196_e24_Zfp781_L4",0.765641708776896,"L4","Ex"
"8",17765.0368388737,11259.6879479184,"query.iter3_cl0","cl27_e121_Gadd45a_L6_CT",0.752737666058065,"L6 PT","Ex"
"9",14248.3338006918,8893.74749085137,"query.iter2_cl1","cl22_i134_Esrrg_Pvalb",0.934933159155966,"Pvalb","Inh"
"10",19117.3976043739,5528.25609567787,"query.iter3_cl3","cl146_e37_Rspo1_L4",0.926350430688662,"L4","Ex"
"11",17269.73311864,12526.6729111405,"query.iter3_cl0","cl106_e50_Dlc1_L6_CT",0.761126095049772,"L6 PT","Ex"
"12",18450.216789496,5062.15743171096,"query.iter3_cl1","cl211_e22_Ascl5_L23_IT",0.934933159155966,"L2/3 IT","Ex"
"13",17147.4321917151,7263.62561038023,"query.iter2_cl2","cl132_i43_Fbn1_Vip",0.985136408346973,"Vip","Inh"
"14",11253.7036364732,10028.651022463,"query.iter3_cl13","cl196_e24_Zfp781_L4",0.983405469893637,"L4","Ex"
"15",4056.33764680139,13241.6311231429,"query.iter3_cl9","cl186_e26_Zfp882_L4",0.983405469893637,"L4","Ex"
"16",4863.3324724368,12692.6413644306,"query.iter3_cl12","cl142_e38_Mamdc2_L4",0.939332374820759,"L4","Ex"
"17",16708.3047820059,4848.36961625093,"query.iter3_cl1","cl197_e24_Cfap54_L23_IT",0.770396341622423,"L2/3 IT","Ex"
"18",14593.814865591,10152.2913378869,"query.iter2_cl1","cl188_i26_Cgn_Pvalb",0.985136408346973,"Pvalb","Inh"
"19",13114.143243914,8677.83144282378,"query.iter3_cl3","cl186_e26_Zfp882_L4",0.988407198252632,"L4","Ex"
"24",12682.3843629304,13871.2567301599,"query.iter3_cl0","cl156_e35_Gpr139_L6_CT",0.939332374820759,"L6 PT","Ex"
"25",12029.6653045688,5712.06594638261,"query.iter3_cl2","cl210_e22_Spaca6_L23_IT",0.922175654415973,"L2/3 IT","Ex"
